No,Nama RS,Provinsi,Kota,Alamat,Telepon
51,OPTIK INTERNASIONAL BALI 2,BALI,DENPASAR,"Pertokoan Kartika Udayana, Jl. Letda Made Putra Kav. 1",0361-254304
52,OPTIK INTERNASIONAL TIARA BALI,BALI,DENPASAR,Jl. Letjen Sutoyo Super Market Tiara Dewata,0361-265077
53,KLINIK MATA JEC DENPASAR BALI,BALI,DENPASAR,Jl. Teuku Umar Barat No. 170,0361-8455409|
54,OPTIK INTERNASIONAL BALI 1,BALI,DENPASAR,"Pertokoan Kartika Udayana, Jl. Letda Made Putra Kav. 10A",0361-254329||
55,RSIA BUNDA DENPASAR,BALI,DENPASAR,"Jl. Gatot Subroto No. 455X, Padang Sambian Kaja, Denpasar Barat",0361-427508|
56,OPTIK SEIS TRANS STUDIO BALI,BALI,DENPASAR,"Jl. Imam Bonjol 440 GF F1-16, Denpasar, Bali",0361-6207102|
57,KLINIK KF 0173 - SANUR,BALI,DENPASAR,Jl. By Pass Ngurah Rai No. 232,0361-283395|
58,"KF 0034 - DIPONEGORO, KLINIK",BALI,DENPASAR,Jl. Diponegoro No. 125,0361-2255555|
59,LABKLIN KF DENPASAR,BALI,DENPASAR,"Jl. Diponegoro No. 125, Pedungan, Kec. Denpasar Utara",0361-239523||
60,HELIX KLINIK & LABORATORIUM CAB BALI,BALI,DENPASAR,"Jl. Teuku Umar No. 246, Dauh Puri Kauh, Kec. Denpasar Bar",0811-1915-4134|
61,KLINIK KF 0640 - MONANG MANING,BALI,DENPASAR,Jl. Gunung Batukaru No. 72,0361-487549|
62,LAB KLINIK PRAMITA DENPASAR,BALI,DENPASAR,"Jl. Diponegoro No. 148, Dauh Puri Klod, Kec. Denpasar Barat, Denpasar",0361-4456773||
63,KLINIK UTAMA QUANTUM (RENON),BALI,DENPASAR,Jl. Moh Yamin No. 11A Denpasar,0361-261788|
64,RS BHAYANGKARA DENPASAR,BALI,DENPASAR,"Jl. Trijata No. 32, Sumerta Kelod, Kec. Denapsar Utara",0361-234670/222908|
65,KLINIK INTIBIOS CABANG BALI,BALI,DENPASAR,"Jl. Raya Puputan 68X Denpasar, Desa/Kelurahan Dangin Puri Kelod, Kec. Denpasar Timur",0818-1817-7171|
66,OPTIK MELAWAI LIVING WORLD BALI,BALI,DENPASAR,"Living World Denpasar (Lt 1 - No. 25), Jl. Gatot Subroto Tim, Tonja",0815-8532-6765|
67,OPTIK SEIS PLAZA RENON,BALI,DENPASAR,"First Floor No. 1 FL-12, Jalan Raya Puputan No. 210 Renon, Denpasar Timur",0361-251482|
68,OPTIK SEIS LIVING WORLD DENPASAR,BALI,DENPASAR,"First Floor Unit 1-23, Jl. Gatot Subroto Timur, Tonja, Denpasar Utara",0361-6200167|
69,OPTIK INTERNASIONAL DIPONEGORO BALI,BALI,DENPASAR,Jl. Diponegoro 100 Komp. Pertokoan Diponegoro Megah BI-B2,0361-262809|
70,KLINIK PRATAMA NIKI DIAGNOSTIC CENTER SUNSET,BALI,DENPASAR,Jl. Sunset Road No. 48D Seminyak Kuta Tuban - Bali,0361-9346302|
71,OPTIK TUNGGAL LIVING WORLD DENPASAR,BALI,DENPASAR,"Jl. Gatot Subroto Timur, Tonja, Kec. Denpasar Utara",0811-1923-6974|
72,KF 0414 GUNUNG AGUNG,BALI,DENPASAR,"Jl. Gunung Agung No. 88, Pemecutan Kaja, Denpasar Utara",0361-9005522/081138115356||
73,KIMIA FARMA 07 SANGLAH DENPASAR,BALI,DENPASAR,Jl.  P. Nias Komplek RSU. P Sanglah Denpasar,
74,KLINIK PRODIA HEALTH CARE,BALI,DENPASAR,Jl. Raya Puputan No. 56,0361-261001|
75,HAPPY DENTAL CLINIC LIVING WORLD DENPASAR,BALI,DENPASAR,"Living World Denpasar Lt. 2 Jl. Gatot Soebroto Tim, Tonja Denpasar Utara Kota Denpasar Bali",0813-8113-555
76,KLINIK KF 0235 - IMAM BONJOL,BALI,DENPASAR,Jl. Imam Bonjol No. 66,0811-3811-5353
77,KLINIK PENTA MEDIKA,BALI,DENPASAR,JL. TEUKU UMAR BARAT-MARLBORO NO.88,0361-7446144 / 490709 / 9346936
78,RS KASIH IBU SABA GIANYAR,BALI,GIANYAR,Jl. Raya Pantai Saba No 9 Desa Saba. Gianyar Bali,'0361) 3003333
79,RSU GANESHA,BALI,GIANYAR,Jl.  Raya Celuk Sukawati,'0361-298233
80,OPTIK INTERNASIONAL GIANYAR,BALI,GIANYAR,Jl. I. Gusti Ngurah Rai - Pertokoan Mandala Giri (Komp Pertokoan Mall Hardys) - Gianyar,0361-942192
81,KLINIK KF 0786 - BATU BULAN,BALI,GIANYAR,"Jl. Raya Baru Bulan No. 63X, Gianyar",0361-8401218|
82,LABORATORIUM KLINIK PRODIA GIANYAR,BALI,GIANYAR,"Jl. By Pass Dharmagiri No. 77, Bitera, Gianyar",0361-4797819
83,RS ARI CANTI GIANYAR,BALI,GIANYAR,Jl. Raya Mas Ubud Gianyar,0361-974573|
84,KF UBUD 2,BALI,GIANYAR,"Jl. Raya Ubud No. 88, Petulu, Ubud, Gianyar",0361-9080997 / 081138115362||
85,OPTIK MELAWAI RUKO GIANYAR BALI,BALI,GIANYAR,"Jl. By Pass Dharma Giri, Kel. Gianyar, Kec. Gianyar, Kab. Gianyar - Bali",0815-8532-6808
86,RSU KASIH IBU KEDONGANAN,BALI,KUTA,"Jl. Uluwatu. No.69a, Kedonganan, Kuta",'0361-703270
87,SILOAM HOSPITALS BALI (Hanya Berlaku Sistem Reimbursement),BALI,KUTA,Jl.  Sunset Road No. 818. Kuta,'0361-779900
88,OPTIK SEIS BALI DISCOVERY MALL,BALI,KUTA,"Ground Floor No. MG-18, Jl. Kartika Plaza - Kuta",(0361) 769836|
89,OPTIK SEIS BEACHWALK,BALI,KUTA,"Lantai 2 No. A-5 Sahid Kuta Lifestyle Resort Jl. Pantai Kuta, Bali 80361",(0361) 8464858|
90,OPTIK MELAWAI GALERIA MALL BALI,BALI,KUTA,"Galeria Mal Bali Lt. 2 Unit 2A, No. 31, Pemogan, Kuta, Badung Regency, Bali",0361-767047
91,RSU SURYA HUSADHA NUSA DUA,BALI,NUSA DUA,Jl. Siligita Blok 1. No.14,0361-775827
92,RSU KASIH IBU TABANAN,BALI,TABANAN,Jl. Flamboyan No. 9 ( Kampung Kodok ) Tegal Belodan Tabanan,'0361-3005757/3003030
93,PRODIA TABANAN,BALI,TABANAN,Jl. Ngurah Rai No. 43 Kediri Tabanan,'0361-812758
94,RSIA PURI BUNDA TABANAN,BALI,TABANAN,"Jl. By Pass Ir. Soekarno, Kediri",0361-2095888|
95,OPTIK INTERNASIONAL TABANAN,BALI,TABANAN,Jl. Gajah Mada No. 13 (Depan Pasar Tabanan),0361-8518177
96,RS BHAKTI RAHAYU TABANAN,BALI,TABANAN,Jl. Raya Batu Karu No. 2,0361-810805||
97,OPTIK MELAWAI RUKO TABANAN BALI,BALI,TABANAN,"Jl. DR. IR. Soekarno, Banjar Anyar, Kec. Kediri, Kab. Tabanan, Bali",0815-8532-6809
98,OPTIK SEIS RUKO SEMINYAK BALI,BALI,KLUNGKUNG,"Unit Toko Blok No. 1, Jl. Raya Seminyak No. 27, Lingk. Seminyak, Kuta, Bali",0361-737966
99,KLINIK MEDIKA STANNIA BELINYU,BANGKA BELITUNG,BANGKA,"Jl. Depati Amir No. 1E Bukit Ketok, Belinyu",0715-321365||
100,RS MEDIKA STANNIA,BANGKA BELITUNG,BANGKA,"Jl. Jend. Sudirman No. 3, Sungai Liat",0717-95837 / 93335||
101,OPTIK INTERNASIONAL SUNGAI LIAT,BANGKA BELITUNG,BANGKA,Jl. Jend. Sudirman No. 97 Babel - Sungau Liat,0717-93324|
102,SILOAM HOSPITALS BANGKA BELITUNG (Hanya Berlaku Sistem Reimbursement),BANGKA BELITUNG,BANGKA TENGAH,Jl. Soekarno Hatta Km.5,'0717-9190900
103,RS KALBU INTAN MEDIKA,BANGKA BELITUNG,PANGKAL PINANG,"Jl. Basuki Rachmad No. 888, Batu Intan, Girimaya",'0717-434099/9105888
104,KLINIK INTAN MEDIKA,BANGKA BELITUNG,PANGKAL PINANG,Jl. Giok 1 No. 77 Kel. Batu Intan Pangkal Pinang,'0717-434099/436863
105,PRODIA PANGKAL PINANG,BANGKA BELITUNG,PANGKAL PINANG,Jl. Kh. Abdurrahman Siddiq No. 176 Pangkal Pinang,'0717-438232
106,OPTIK MELAWAI PANGKAL PINANG BANGKA,BANGKA BELITUNG,PANGKAL PINANG,"Pangkal Pinang Plaza Lt. 1 Dasar Pintu Utama, Jl. Pasar Ikan, Kota Pangkal Pinang, Bangka Belitung",0717-421515
107,OPTIK MELAWAI TRANSMART PANGKAL PINANG,BANGKA BELITUNG,PANGKAL PINANG,"Lt. GF-9A Jl. Jend. Sudirman No. 51B, Taman Bunga, Cerunggang",0717-9114097
108,OPTIK INTERNASIONAL PANGKAL PINANG 1,BANGKA BELITUNG,PANGKAL PINANG,Jl. Sukarno Hatta No. 282 Pangkal Pinang,0717- 438646/4256645
109,RS BAKTI TIMAH PANGKAL PINANG,BANGKA BELITUNG,PANGKAL PINANG,"Jl.  Bukit Baru No. 1, Pangkal Pinang",0717-421091||
110,PRIMAYA HOSPITAL BHAKTI WARA,BANGKA BELITUNG,PANGKAL PINANG,"Jl. Solihin GP No. 180, Kel. Gajah Mada, Kec. Rangkui, Kota Pangkal Pinang",0717-422605||
111,KF 0540 SEMABUNG,BANGKA BELITUNG,PANGKAL PINANG,"Jl. Depati Hamzah No. 31 Semabung Lama Bukit Intan, Semabung Lama, Bukit Intan, Pangkal Pinang",0717-437259/08117853186||
112,OPTIK MELAWAI RUKO SOEKARNO HATTA PANGKAL PINANG,BANGKA BELITUNG,PANGKAL PINANG,JL. SOEKARNO HATTA (JLN. MAYOR SYAFIRI RACHMAN ) NO. 4-5 KEL. BUKIT INTAN KEC. GIRIMAYA,0815 1944 5057
113,OPTIK INTERNASIONAL MANGGAR,BANGKA BELITUNG,BELITUNG,Jalan Jend. Sudirman Kec. Manggar Kab. Belitung Timur Prov. Sumatera Selatan Kep. Bangka Belitung,0719-9225085
114,OPTIK INTERNASIONAL TANJUNG DUREN,BANGKA BELITUNG,BELITUNG,Jl. Sriwijaya Komplek Ruko Sriwijaya No. C05 Tanjung Pandan - Bangka Belitung,0719-23948
115,KLINIK UTAMA BAKTI TIMAH TANJUNG PANDAN,BANGKA BELITUNG,BELITUNG,Jl. Melati No. 32 Tanjung Pandan,0719-21865||
116,KLINIK PRATAMA BAKTI TIMAH MANGGAR,BANGKA BELITUNG,BELITUNG TIMUR,"Jl. Gajah Mada No. 146, Desa Lalang, Manggar",0719-9225910||
117,RS BAKTI TIMAH MUNTOK,BANGKA BELITUNG,BANGKA BARAT,Jl. Raya Timah Komp. Pusmet,0716-21009 / 21008||
118,KLINIK BAKTI TIMAH PARITTIGA JEBUS,BANGKA BELITUNG,BANGKA BARAT,"Jl. Raya Parit Tiga Desa Puput, Parittiga - Jebus",0715-351143/351446||
119,KLINIK BAKTI TIMAH TOBOALI,BANGKA BELITUNG,BANGKA SELATAN,Jl. Jend. Sudirman No. 227 Toboali,0718-41771||
120,Klinik Medikids by MHDC Wakaf Cilegon,BANTEN,CILEGON,"Cilegon City Square Jl. Lingkar Selatan Rt.006/ RW. 001 Kedaleman, Cibeber, Cilegon Banten",
121,RSIA MUTIARA BUNDA CILEGON,BANTEN,CILEGON,Jl. Sa Tirtayasa Ruko Maisonette Blok B 1-2 Simpang Tiga Cilegon,'0254- 399988/376888/399968-
122,LAB KF CILEGON,BANTEN,CILEGON,"Jl. Sultan Ageng Tirtayasa No. 12C, Masigit",0252-399174||
123,RS KURNIA CILEGON,BANTEN,CILEGON,Jl. Jombang Masjid No.4,0254-391161
124,RS KRAKATAU MEDIKA,BANTEN,CILEGON,Jl.  Semang Raya - Cilegon,'0254-396333; 0254-372180; 0254-372123
125,LAB PRODIA CILEGON,BANTEN,CILEGON,Jl. Sultan Ageng Tirtayasa No. 8 Cilegon - Banten 42414,'0254-381990/398969
126,KLINIK UTAMA BEDAH TONGGAK HUSADA,BANTEN,CILEGON,"Jl. Bojonegoro, Tunggak, Ds. Keriasana - Bojonegara, Serang",0254-8494205|
127,OPTIK MELAWAI CILEGON CENTER,BANTEN,CILEGON,"Cilegon Center Lt. UG 18 &19B, Jl. Ahmad Yani, Sukmajaya, Jombang, Cilegon, Banten",0254-7817927
128,OPTIK SEIS CILEGON CENTER MALL,BANTEN,CILEGON,"Cilegon Center Mall, Jl. Jend. Ahmad Yani, Sukmajaya, Jombang",0254 - 7817520|
129,RS CITRA SUNDARI,BANTEN,CILEGON,Jl. Temu Putih No. 100 - Cilegon,0254-396710|
130,KLINIK FATIMAH CILEGON,BANTEN,CILEGON,"Jl. Ahmad Yani Km. 14, Ruko Monalisa B1 No. 1, Linkcibeber Timur RT. 01 RW. 01",085946077301|
131,RS HERMINA CILEGON,BANTEN,CILEGON,"Kawasan PT Bonauli Real Estate, Jl. Terusan Bonakarta RT 01, Kel. Masigit, Kec. Jombang, Cilegon - Banten",0254-8572525
132,KASOEM VISION CARE RS KRAKATAU MEDIKA,BANTEN,CILEGON,Jl. Semang Raya Cilegon,0254-374441|
133,KLINIK KF 0140 - SIMPANG,BANTEN,CILEGON,Jl. SA Tirtayasa No. 12 C,0254-392278|
134,KLINIK KF 0268 - PCI,BANTEN,CILEGON,Ruko PCI A4 No. 1,0254-394827|
135,KLINIK KF RAMAYANA,BANTEN,CILEGON,Jl. Ahmad Yani No. 03,0254-7810298|
136,OPTIK MELAWAI RUKO A. YANI CILEGON,BANTEN,CILEGON,"Jl. Ahmad Yani No. 5, Desa/Kelurahan Sukmajaya, Kec. Jombang",0815-1416-6722
137,KLINIK ANANDA CILEGON,BANTEN,CILEGON,Jl. R. Suprapto Km. 8,0254-310609||
138,RS MISI LEBAK,BANTEN,LEBAK,Jl. Multatuli No.41,'0252-201014
139,KLINIK DAN APOTEK MEDIKA,BANTEN,LEBAK,Jl.  Ahmad Yani Rancasema - Rangkasbitung,0252-209975|
140,KLINIK KF RANGKAS BITUNG,BANTEN,LEBAK,Jl. Multatuli No. 27,0252-209385|
141,KLINIK IKHLAS MEDIKA 2,BANTEN,SERANG,Jl. Raya Serang - Jakarta Km.04 Pakupatan (Depan Kampus Untirta),'0254-284937-
142,RS BUDI ASIH,BANTEN,SERANG,Jl. K.H. Sohari. No.39,'0254-212484/218666
143,RS KURNIA SERANG,BANTEN,SERANG,Jl. Raya Cilegon Km.8 Desa Kramatwatu,'0254-232648
144,RSIA PERMATA SERDANG,BANTEN,SERANG,Jalan Waringin Kurung Rt 001/003 Desa Serdang. Kecamatan Kramatwatu Kabupaten Serang. Banten 42161,'0254- 387515
145,RS HERMINA CIRUAS,BANTEN,SERANG,Jl.  Raya Serang Km.9 Ds.Ranjeng - Ciruas,'0254-281829/ 0254-280555
146,RS SARI ASIH SERANG,BANTEN,SERANG,Jl. Jend.Sudirman. No.38. Penancangan. Cipocok,'0254-220022
147,KLINIK IKHLAS MEDIKA 1,BANTEN,SERANG,Komplek Bumi Agung Permai 1.No. Di/6,'0254-207918-7911345
148,RS. BENGGALA SERANG,BANTEN,SERANG,"Jl. Yusuf Martadilaga No. 56 Cipare, Serang",0254-209526 / 210734|
149,OPTIK MELAWAI MALL OF SERANG,BANTEN,SERANG,Mall of Serang Lt. G Unit 05,0254-8483771
150,OPTIK MELAWAI RUKO A. YANI SERANG,BANTEN,SERANG,"Jl. Jenderal A. Yani No. 92, Sumurpecung, Kec. Serang, Kota Serang",0815 1042 3905
151,OPTIK INTERNASIONAL SERANG 1,BANTEN,SERANG,"Ruko Cipare Ruko Cipare Blok A No. 3 Jl. A. Yani No. 3,4 Serang",254220308
152,RS. FATIMAH SERANG,BANTEN,SERANG,"Ruko Serang City Square Blok A No. 1, Jl. Serang Cilegon Km. 3,5 Kel. Drangong Kec. Taktakan",(0254) 7913678
153,RSIA. PURI GARCIA,BANTEN,SERANG,"Jl. Griya Purnama No. 99, Tegal Padang Legok, Serang Banten 42162",0254-223 333 / 0254-7914 153||
154,KLINIK AASIYAH MEDIKA,BANTEN,SERANG,"Jl. Mayor Safei No. 65, Kelurahan Lontar Baru, Serang - Banten",0813-9000-3123|
155,KLINIK KF. 0253 - SERANG,BANTEN,SERANG,Jl. Yusuf Martadilaga Serang - Banten,0254-211447|
156,KLINIK KF. 0472 - A. YANI,BANTEN,SERANG,Jl. Ahmad Yani No. 57 Kota Serang,0254-211065|
157,KLINIK KF. SUDIRMAN CILEGON,BANTEN,SERANG,Jl. Jend. Sudirman No. 227 Kota Serang,0254-7925635|
158,LAB KLINIK KF SERANG,BANTEN,SERANG,"Jl. Jenderal Ahmad Yani No. 94 & 96, Sumur Pecung, Kec. Serang, Kota Serang, Banten",0254-7822473|
159,FM CLINIC,BANTEN,SERANG,"Jl. Raya Serang Km. 12, Ruko Kp. Dadap RT. 001/001, Ds. Ciagel, Kec. Kibin",0254-7950802|
160,KLINIK PRODIA SERANG,BANTEN,SERANG,Jl. KH. Sochari No. 4 Sumur Pecung,0254-7919569|
161,RS. ANDALUCIA SERANG,BANTEN,SERANG,"Jl. Raya Serang - Pandeglang Km. 5 Tembong Cipocokjaya, Kota Serang",0254-4077911|
162,KLINIK TIARA MEDIKA - SERANG,BANTEN,SERANG,"Ruko Nusaraya II Residence Kav. R, No. 9, Kel. Margatani, Kec. Kramatwatu, Serang",0254-7814781|
163,RS ALINDA HUSADA,BANTEN,PANDEGLANG,"Jl. Raya Panimbang Tanjung, Km. 1, Panimbangjaya, Labuan",0253-5806781|
164,KLINIK KF A. YANI PANDEGLANG,BANTEN,PANDEGLANG,"Jl. Jenderal Ahmad Yani, Curug Sawer, Kab. Pandeglang, Banten",0813-1188-4059
165,OPTIK MELAWAI PALEM SEMI KARAWACI,BANTEN,TANGERANG,"RUKO MADRID NO 6&7, KEL. PANUNGGANGAN BARAT, KEC. CIBODAS, KOTA TANGERANG",0815 1972 5270
166,KLINIK AUDY DENTAL GREEN LAKE,BANTEN,TANGERANG,"GREEN LAKE CITY RUKO WALLSTREET NO.26, RT.008/RW.009, PETIR, KEC. CIPONDOH, KOTA TANGERANG, BANTEN","021-2309-5881 /
 0811-1180-1979"
167,OPTIK MELAWAI MALL JAKARTA PREMIUM OUTLETS,BANTEN,TANGERANG,"JL. JALUR SUTERA BOULEVARD, KEL. PANUNGGANGAN TIMUR, KEC. PINANG",0815-1987-6880
168,OPTIK INTERNASIONAL CILEDUG,BANTEN,TANGERANG,"Ruko CBD Ciledug Jl. Ciledug Raya A5 No. 6, Ciledug",0888211549778
169,HELIX KLINIK & LABORATORIUM CAB CILEDUG,BANTEN,TANGERANG,"Jl. HOS Cokroaminoto No. 29, RT.004/RW.004, Sudimara Jaya, Kec. Ciledug",0812-2106-523|
170,RS. METRO HOSPITALS M TOHA,BANTEN,TANGERANG,Jl. M. Toha Km. 2 No. 1 Nambo Jaya - Karawaci,021-5962790
171,LABORATORIUM MEDIS PRODIA METRO MEDIKA,BANTEN,TANGERANG,Metro Permata 1 Blok E2/1 Karang Mulya,021-22273468
172,OPTIK INTERNASIONAL CITRA RAYA,BANTEN,TANGERANG,"Ruko Melia Residence Blok X02/15 R Jl. Citra Raya-Boulevard, Cikupa",088801112605
173,RS MITRA KELUARGA GADING SERPONG,BANTEN,TANGERANG,Jl. Raya Legok - Karawaci. Kel. Medang,'021-5568 9111
174,EKA HOSPITAL BSD,BANTEN,TANGERANG,"Central Business District, Lot IX, BSD City",021-25655555|
175,RSIA ILANUR,BANTEN,TANGERANG,Jl.  Raya Serang. No.1. Balaraja,'021-59450898/5953241
176,RSU DINDA,BANTEN,TANGERANG,Jl. Galuh No.2. Gatot Subroto Km.5 Jatiuwung,'021-55650577
177,RS EMC TANGERANG,BANTEN,TANGERANG,Jl.  Kh Hasyim Ashari No.24 Cipondoh,'021-55752575/5521270021-55755665/5521272
