nama_rumah_sakit,alamat,telp,text
OPTIK MELAWAI RUKO NGURAH RAI SINGARAJA,"Jl. I Gusti Ngurah Rai No. 78, Kec. Buleleng Kota Singaraja Bali",0815 7458 0882,Admedika Corporate | Provinsi: BALI | Kota: BULELENG
OPTIK TUNGGAL LIVING WORLD DENPASAR,"JL.GATOT SUBROTO TIMUR, TONJA LANTAI FIRST FLOOR # 1-22 KEC.DENPASAR UTARA  - KUTA, DENPASAR BALI",081119236974,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK TUNGGAL ICON MALL BALI,JL.DANAU TAMBLINGAN NO.27 SANUR- UG NO.12 - DENPASAR SELATAN - KOTA DENPASAR BALI,0811 9001 3827,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
AUDY DENTAL CLINIC CABANG BALI,"JL. MAHENDRADATTA NO.2A, PADANGSAMBIAN, KEC. DENPASAR BARAT",0811-8801-7273,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI BATUBULAN GIANYAR BALI,"JL. RAYA BATUBULAN, KEL. BATUBULAN, KEC. SUKAWATI, KAB. GIANYAR, PROVINSI BALI",0815-1989-6310,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK QUANTUM SARANA MEDIK,Jl.  Raya Sesetan No. 20,0361-228835||,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RSU KASIH IBU DENPASAR,Jl. Teuku Umar. No.120,0361-223036/3003030,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS PRIMA MEDIKA,Jl. Pulau Serangan 9X,'0361-262535 / 232434,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS BHAKTI RAHAYU DENPASAR,Jl. Gatot Subroto II No.11,'0361-430270 / 430245 / 428287 / 7420673,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
BALI ROYAL HOSPITAL (BROS),Jl. Tantular No.6 Renon,'0361- 247499/222588/228054,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS SURYA HUSADHA,Jl. Pulau Serangan No.7,'0361-233787,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RSIA PURI BUNDA,Jl. Gatot Subroto VI No.19,'0361-437999,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS BALIMED,Jl. Mahendradatta No.57X,'0361-484748 / 3117311 / 482281 / 8450771 / 8450772,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS PURI RAHARJA,Jl.  WR. Supratman  No. 14-19 Denpasar,'0361-222013,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS MANUABA,Jl.  Hos. Cokroaminoto No. 28,'0361-437143 / 426393,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RSU SURYA HUSADHA UBUNG,"Jl. Cokroaminoto, No. 356 Denpasar",0361-425744|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI GATOT SUBROTO DENPASAR,Jl. Gatot Soebroto No. 314,0361-425345,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI LEVEL 21 MALL,"Level 21, Jl. Teuku Umar No. 23, Dauh Puri Klod, Denpasar, Bali",0361-3021213,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI MEGAH DIPONEGORO,"Pertokoan Diponegoro Megah, Jl. Diponegoro No. 100, Denpasar, Bali",0361-221972,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI TRANS STUDIO BALI,"Trans Studio Bali Lt. 1 No. 18, Jl. Imam Bonjol No. 440, Denpasar",0361-6207068,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI UDAYANA,Komplek Udayana No. 21 B,0361-254282,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK SEIS LEVEL 21,"Jl. Teuku Umar No. 1, Denpasar, Bali",0361-3003119|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK SEIS MALL BALI GALELRIA,"Lantai Dasar Unit No. 1B -49, Jl. Raya By Pass Ngurah Rai Bali",(0361) 752688|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK INTERNASIONAL BALI 4,Jl. Diponegoro No. 220,0361-225054,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK INTERNASIONAL BALI 2,"Pertokoan Kartika Udayana, Jl. Letda Made Putra Kav. 1",0361-254304,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK INTERNASIONAL TIARA BALI,Jl. Letjen Sutoyo Super Market Tiara Dewata,0361-265077,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK MATA JEC DENPASAR BALI,Jl. Teuku Umar Barat No. 170,0361-8455409|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK INTERNASIONAL BALI 1,"Pertokoan Kartika Udayana, Jl. Letda Made Putra Kav. 10A",0361-254329||,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RSIA BUNDA DENPASAR,"Jl. Gatot Subroto No. 455X, Padang Sambian Kaja, Denpasar Barat",0361-427508|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK SEIS TRANS STUDIO BALI,"Jl. Imam Bonjol 440 GF F1-16, Denpasar, Bali",0361-6207102|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK KF 0173 - SANUR,Jl. By Pass Ngurah Rai No. 232,0361-283395|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
"KF 0034 - DIPONEGORO, KLINIK",Jl. Diponegoro No. 125,0361-2255555|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
LABKLIN KF DENPASAR,"Jl. Diponegoro No. 125, Pedungan, Kec. Denpasar Utara",0361-239523||,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
HELIX KLINIK & LABORATORIUM CAB BALI,"Jl. Teuku Umar No. 246, Dauh Puri Kauh, Kec. Denpasar Bar",0811-1915-4134|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK KF 0640 - MONANG MANING,Jl. Gunung Batukaru No. 72,0361-487549|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
LAB KLINIK PRAMITA DENPASAR,"Jl. Diponegoro No. 148, Dauh Puri Klod, Kec. Denpasar Barat, Denpasar",0361-4456773||,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK UTAMA QUANTUM (RENON),Jl. Moh Yamin No. 11A Denpasar,0361-261788|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS BHAYANGKARA DENPASAR,"Jl. Trijata No. 32, Sumerta Kelod, Kec. Denapsar Utara",0361-234670/222908|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK INTIBIOS CABANG BALI,"Jl. Raya Puputan 68X Denpasar, Desa/Kelurahan Dangin Puri Kelod, Kec. Denpasar Timur",0818-1817-7171|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK MELAWAI LIVING WORLD BALI,"Living World Denpasar (Lt 1 - No. 25), Jl. Gatot Subroto Tim, Tonja",0815-8532-6765|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK SEIS PLAZA RENON,"First Floor No. 1 FL-12, Jalan Raya Puputan No. 210 Renon, Denpasar Timur",0361-251482|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK SEIS LIVING WORLD DENPASAR,"First Floor Unit 1-23, Jl. Gatot Subroto Timur, Tonja, Denpasar Utara",0361-6200167|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK INTERNASIONAL DIPONEGORO BALI,Jl. Diponegoro 100 Komp. Pertokoan Diponegoro Megah BI-B2,0361-262809|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK PRATAMA NIKI DIAGNOSTIC CENTER SUNSET,Jl. Sunset Road No. 48D Seminyak Kuta Tuban - Bali,0361-9346302|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
OPTIK TUNGGAL LIVING WORLD DENPASAR,"Jl. Gatot Subroto Timur, Tonja, Kec. Denpasar Utara",0811-1923-6974|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KF 0414 GUNUNG AGUNG,"Jl. Gunung Agung No. 88, Pemecutan Kaja, Denpasar Utara",0361-9005522/081138115356||,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KIMIA FARMA 07 SANGLAH DENPASAR,Jl.  P. Nias Komplek RSU. P Sanglah Denpasar,,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK PRODIA HEALTH CARE,Jl. Raya Puputan No. 56,0361-261001|,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
HAPPY DENTAL CLINIC LIVING WORLD DENPASAR,"Living World Denpasar Lt. 2 Jl. Gatot Soebroto Tim, Tonja Denpasar Utara Kota Denpasar Bali",0813-8113-555,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK KF 0235 - IMAM BONJOL,Jl. Imam Bonjol No. 66,0811-3811-5353,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
KLINIK PENTA MEDIKA,JL. TEUKU UMAR BARAT-MARLBORO NO.88,0361-7446144 / 490709 / 9346936,Admedika Corporate | Provinsi: BALI | Kota: DENPASAR
RS KASIH IBU SABA GIANYAR,Jl. Raya Pantai Saba No 9 Desa Saba. Gianyar Bali,'0361) 3003333,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
RSU GANESHA,Jl.  Raya Celuk Sukawati,'0361-298233,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
OPTIK INTERNASIONAL GIANYAR,Jl. I. Gusti Ngurah Rai - Pertokoan Mandala Giri (Komp Pertokoan Mall Hardys) - Gianyar,0361-942192,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
KLINIK KF 0786 - BATU BULAN,"Jl. Raya Baru Bulan No. 63X, Gianyar",0361-8401218|,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
LABORATORIUM KLINIK PRODIA GIANYAR,"Jl. By Pass Dharmagiri No. 77, Bitera, Gianyar",0361-4797819,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
RS ARI CANTI GIANYAR,Jl. Raya Mas Ubud Gianyar,0361-974573|,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
KF UBUD 2,"Jl. Raya Ubud No. 88, Petulu, Ubud, Gianyar",0361-9080997 / 081138115362||,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
OPTIK MELAWAI RUKO GIANYAR BALI,"Jl. By Pass Dharma Giri, Kel. Gianyar, Kec. Gianyar, Kab. Gianyar - Bali",0815-8532-6808,Admedika Corporate | Provinsi: BALI | Kota: GIANYAR
RSU KASIH IBU KEDONGANAN,"Jl. Uluwatu. No.69a, Kedonganan, Kuta",'0361-703270,Admedika Corporate | Provinsi: BALI | Kota: KUTA
SILOAM HOSPITALS BALI (Hanya Berlaku Sistem Reimbursement),Jl.  Sunset Road No. 818. Kuta,'0361-779900,Admedika Corporate | Provinsi: BALI | Kota: KUTA
OPTIK SEIS BALI DISCOVERY MALL,"Ground Floor No. MG-18, Jl. Kartika Plaza - Kuta",(0361) 769836|,Admedika Corporate | Provinsi: BALI | Kota: KUTA
OPTIK SEIS BEACHWALK,"Lantai 2 No. A-5 Sahid Kuta Lifestyle Resort Jl. Pantai Kuta, Bali 80361",(0361) 8464858|,Admedika Corporate | Provinsi: BALI | Kota: KUTA
OPTIK MELAWAI GALERIA MALL BALI,"Galeria Mal Bali Lt. 2 Unit 2A, No. 31, Pemogan, Kuta, Badung Regency, Bali",0361-767047,Admedika Corporate | Provinsi: BALI | Kota: KUTA
RSU SURYA HUSADHA NUSA DUA,Jl. Siligita Blok 1. No.14,0361-775827,Admedika Corporate | Provinsi: BALI | Kota: NUSA DUA
RSU KASIH IBU TABANAN,Jl. Flamboyan No. 9 ( Kampung Kodok ) Tegal Belodan Tabanan,'0361-3005757/3003030,Admedika Corporate | Provinsi: BALI | Kota: TABANAN
PRODIA TABANAN,Jl. Ngurah Rai No. 43 Kediri Tabanan,'0361-812758,Admedika Corporate | Provinsi: BALI | Kota: TABANAN
RSIA PURI BUNDA TABANAN,"Jl. By Pass Ir. Soekarno, Kediri",0361-2095888|,Admedika Corporate | Provinsi: BALI | Kota: TABANAN
OPTIK INTERNASIONAL TABANAN,Jl. Gajah Mada No. 13 (Depan Pasar Tabanan),0361-8518177,Admedika Corporate | Provinsi: BALI | Kota: TABANAN
RS BHAKTI RAHAYU TABANAN,Jl. Raya Batu Karu No. 2,0361-810805||,Admedika Corporate | Provinsi: BALI | Kota: TABANAN
OPTIK MELAWAI RUKO TABANAN BALI,"Jl. DR. IR. Soekarno, Banjar Anyar, Kec. Kediri, Kab. Tabanan, Bali",0815-8532-6809,Admedika Corporate | Provinsi: BALI | Kota: TABANAN
OPTIK SEIS RUKO SEMINYAK BALI,"Unit Toko Blok No. 1, Jl. Raya Seminyak No. 27, Lingk. Seminyak, Kuta, Bali",0361-737966,Admedika Corporate | Provinsi: BALI | Kota: KLUNGKUNG
KLINIK MEDIKA STANNIA BELINYU,"Jl. Depati Amir No. 1E Bukit Ketok, Belinyu",0715-321365||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA
RS MEDIKA STANNIA,"Jl. Jend. Sudirman No. 3, Sungai Liat",0717-95837 / 93335||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA
OPTIK INTERNASIONAL SUNGAI LIAT,Jl. Jend. Sudirman No. 97 Babel - Sungau Liat,0717-93324|,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA
SILOAM HOSPITALS BANGKA BELITUNG (Hanya Berlaku Sistem Reimbursement),Jl. Soekarno Hatta Km.5,'0717-9190900,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA TENGAH
RS KALBU INTAN MEDIKA,"Jl. Basuki Rachmad No. 888, Batu Intan, Girimaya",'0717-434099/9105888,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
KLINIK INTAN MEDIKA,Jl. Giok 1 No. 77 Kel. Batu Intan Pangkal Pinang,'0717-434099/436863,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
PRODIA PANGKAL PINANG,Jl. Kh. Abdurrahman Siddiq No. 176 Pangkal Pinang,'0717-438232,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
OPTIK MELAWAI PANGKAL PINANG BANGKA,"Pangkal Pinang Plaza Lt. 1 Dasar Pintu Utama, Jl. Pasar Ikan, Kota Pangkal Pinang, Bangka Belitung",0717-421515,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
OPTIK MELAWAI TRANSMART PANGKAL PINANG,"Lt. GF-9A Jl. Jend. Sudirman No. 51B, Taman Bunga, Cerunggang",0717-9114097,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
OPTIK INTERNASIONAL PANGKAL PINANG 1,Jl. Sukarno Hatta No. 282 Pangkal Pinang,0717- 438646/4256645,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
RS BAKTI TIMAH PANGKAL PINANG,"Jl.  Bukit Baru No. 1, Pangkal Pinang",0717-421091||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
PRIMAYA HOSPITAL BHAKTI WARA,"Jl. Solihin GP No. 180, Kel. Gajah Mada, Kec. Rangkui, Kota Pangkal Pinang",0717-422605||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
KF 0540 SEMABUNG,"Jl. Depati Hamzah No. 31 Semabung Lama Bukit Intan, Semabung Lama, Bukit Intan, Pangkal Pinang",0717-437259/08117853186||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
OPTIK MELAWAI RUKO SOEKARNO HATTA PANGKAL PINANG,JL. SOEKARNO HATTA (JLN. MAYOR SYAFIRI RACHMAN ) NO. 4-5 KEL. BUKIT INTAN KEC. GIRIMAYA,0815 1944 5057,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: PANGKAL PINANG
OPTIK INTERNASIONAL MANGGAR,Jalan Jend. Sudirman Kec. Manggar Kab. Belitung Timur Prov. Sumatera Selatan Kep. Bangka Belitung,0719-9225085,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BELITUNG
OPTIK INTERNASIONAL TANJUNG DUREN,Jl. Sriwijaya Komplek Ruko Sriwijaya No. C05 Tanjung Pandan - Bangka Belitung,0719-23948,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BELITUNG
KLINIK UTAMA BAKTI TIMAH TANJUNG PANDAN,Jl. Melati No. 32 Tanjung Pandan,0719-21865||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BELITUNG
KLINIK PRATAMA BAKTI TIMAH MANGGAR,"Jl. Gajah Mada No. 146, Desa Lalang, Manggar",0719-9225910||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BELITUNG TIMUR
RS BAKTI TIMAH MUNTOK,Jl. Raya Timah Komp. Pusmet,0716-21009 / 21008||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA BARAT
KLINIK BAKTI TIMAH PARITTIGA JEBUS,"Jl. Raya Parit Tiga Desa Puput, Parittiga - Jebus",0715-351143/351446||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA BARAT
KLINIK BAKTI TIMAH TOBOALI,Jl. Jend. Sudirman No. 227 Toboali,0718-41771||,Admedika Corporate | Provinsi: BANGKA BELITUNG | Kota: BANGKA SELATAN
Klinik Medikids by MHDC Wakaf Cilegon,"Cilegon City Square Jl. Lingkar Selatan Rt.006/ RW. 001 Kedaleman, Cibeber, Cilegon Banten",,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
RSIA MUTIARA BUNDA CILEGON,Jl. Sa Tirtayasa Ruko Maisonette Blok B 1-2 Simpang Tiga Cilegon,'0254- 399988/376888/399968-,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
LAB KF CILEGON,"Jl. Sultan Ageng Tirtayasa No. 12C, Masigit",0252-399174||,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
RS KURNIA CILEGON,Jl. Jombang Masjid No.4,0254-391161,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
RS KRAKATAU MEDIKA,Jl.  Semang Raya - Cilegon,'0254-396333; 0254-372180; 0254-372123,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
LAB PRODIA CILEGON,Jl. Sultan Ageng Tirtayasa No. 8 Cilegon - Banten 42414,'0254-381990/398969,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KLINIK UTAMA BEDAH TONGGAK HUSADA,"Jl. Bojonegoro, Tunggak, Ds. Keriasana - Bojonegara, Serang",0254-8494205|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
OPTIK MELAWAI CILEGON CENTER,"Cilegon Center Lt. UG 18 &19B, Jl. Ahmad Yani, Sukmajaya, Jombang, Cilegon, Banten",0254-7817927,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
OPTIK SEIS CILEGON CENTER MALL,"Cilegon Center Mall, Jl. Jend. Ahmad Yani, Sukmajaya, Jombang",0254 - 7817520|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
RS CITRA SUNDARI,Jl. Temu Putih No. 100 - Cilegon,0254-396710|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KLINIK FATIMAH CILEGON,"Jl. Ahmad Yani Km. 14, Ruko Monalisa B1 No. 1, Linkcibeber Timur RT. 01 RW. 01",085946077301|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
RS HERMINA CILEGON,"Kawasan PT Bonauli Real Estate, Jl. Terusan Bonakarta RT 01, Kel. Masigit, Kec. Jombang, Cilegon - Banten",0254-8572525,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KASOEM VISION CARE RS KRAKATAU MEDIKA,Jl. Semang Raya Cilegon,0254-374441|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KLINIK KF 0140 - SIMPANG,Jl. SA Tirtayasa No. 12 C,0254-392278|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KLINIK KF 0268 - PCI,Ruko PCI A4 No. 1,0254-394827|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KLINIK KF RAMAYANA,Jl. Ahmad Yani No. 03,0254-7810298|,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
OPTIK MELAWAI RUKO A. YANI CILEGON,"Jl. Ahmad Yani No. 5, Desa/Kelurahan Sukmajaya, Kec. Jombang",0815-1416-6722,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
KLINIK ANANDA CILEGON,Jl. R. Suprapto Km. 8,0254-310609||,Admedika Corporate | Provinsi: BANTEN | Kota: CILEGON
RS MISI LEBAK,Jl. Multatuli No.41,'0252-201014,Admedika Corporate | Provinsi: BANTEN | Kota: LEBAK
KLINIK DAN APOTEK MEDIKA,Jl.  Ahmad Yani Rancasema - Rangkasbitung,0252-209975|,Admedika Corporate | Provinsi: BANTEN | Kota: LEBAK
KLINIK KF RANGKAS BITUNG,Jl. Multatuli No. 27,0252-209385|,Admedika Corporate | Provinsi: BANTEN | Kota: LEBAK
KLINIK IKHLAS MEDIKA 2,Jl. Raya Serang - Jakarta Km.04 Pakupatan (Depan Kampus Untirta),'0254-284937-,Admedika Corporate | Provinsi: BANTEN | Kota: SERANG
RS BUDI ASIH,Jl. K.H. Sohari. No.39,'0254-212484/218666,Admedika Corporate | Provinsi: BANTEN | Kota: SERANG
RS KURNIA SERANG,Jl. Raya Cilegon Km.8 Desa Kramatwatu,'0254-232648,Admedika Corporate | Provinsi: BANTEN | Kota: SERANG
RSIA PERMATA SERDANG,Jalan Waringin Kurung Rt 001/003 Desa Serdang. Kecamatan Kramatwatu Kabupaten Serang. Banten 42161,'0254- 387515,Admedika Corporate | Provinsi: BANTEN | Kota: SERANG
RS HERMINA CIRUAS,Jl.  Raya Serang Km.9 Ds.Ranjeng - Ciruas,'0254-281829/ 0254-280555,Admedika Corporate | Provinsi: BANTEN | Kota: SERANG
RS SARI ASIH SERANG,Jl. Jend.Sudirman. No.38. Penancangan. Cipocok,'0254-220022,Admedika Corporate | Provinsi: BANTEN | Kota: SERANG
