nama_rumah_sakit,alamat,telp,text
Aisyiyah Bojonegoro,"Jl.  Hasyim Asy’Ari, No.17 Bojonegoro Jawa Timur",0353-881748/881628,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.17 Bojonegoro Jawa Timur"
Aisyiyah Samarinda,"Jl. P. Hidayatullah No.64 Pelabuhan, Samarinda Kota, Kalimantan Timur",0541-741961 / 734533,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kalimantan Timur"
Ajiwaras,"Jl.Cilandak KKO No.45 A, Ragunan, Pasar Minggu, Jakarta Selatan 12550",021-78836308/78835703,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan 12550"
Ajiwaras Karang Tengah,"Jl. Karang Tengah Raya No.60 Lebak Bulus Cilandak, Jakarta Selatan 12440",021-75909473,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan 12440"
Al Irsyad Surabaya,Jl. Kh. Mas Mansyur 210-214,031-3531223,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kh. Mas Mansyur 210-214"
Alea Dental Clinic,"Jl. Cipete Raya No.16 Blok A-7 RT.06/04 Kel.Cipete Selatan , Cilandak Jakarta Selatan",021-75915723,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cilandak Jakarta Selatan"
Alf Subtin,"Jl. Anjuk Ladang No.21 Candirejo, Loceret, Nganjuk – Jawa Timur",0358 - 3510889,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Nganjuk – Jawa Timur"
Alfurqon,Jl. Raya Labuan Km 2 Torogong Margasana - Pandeglang,0253-803777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Labuan Km 2 Torogong Margasana - Pandeglang"
Al-Huda,"Jl. Diponegoro, No.65, Genteng",0333-842033,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Genteng"
Ali Sibroh Malisi,"Jl. Warung Silah No.1, Cipedak, Jagakarsa Jakarta Selatan",021-7270681,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jagakarsa Jakarta Selatan"
Alia Hospital Depok (d/h RSIA Bunda Aliyah Depok),Jl. Kartini No.2 Pancoranmas Kota Depok 16431 – Jawa Barat,021 - 77803600,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kartini No.2 Pancoranmas Kota Depok 16431 – Jawa Barat"
Alia Hospital Jakarta Timur (d/h RSIA Bunda Aliyah),Jl. Pahlawan Revolusi No.100 Pondok Bambu,021-86602525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pahlawan Revolusi No.100 Pondok Bambu"
Al-Islam,Jl.  Awibitung No.29 Cicadas Bandung 40121,022-7208284,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.  Awibitung No.29 Cicadas Bandung 40121"
Allam Medica Bumiayu,"Jl.  Diponegoro No. 609, Jatisawit Bumiayu Jawa Tengah",0289-430822,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jatisawit Bumiayu Jawa Tengah"
Altius Hospital,"Jl. Harapan Indah Boulevard Sektor V, Desa/Kelurahan Pusaka Rakyat, Kec. Tarumajaya, Kab. Bekasi,",021-30008877,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kab. Bekasi"
Alvernia Agusta,"Jl. Pemuda No.80, Kel.Jati, Kec.Pulogadung Jakarta Timur",021-4705266,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec.Pulogadung Jakarta Timur"
Amalia Bontang,Jl. R. Soeprapto No. 22 Bontang,0548-25050,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. R. Soeprapto No. 22 Bontang"
Amanda Brastagi,Jl. Djamin Ginting Simp.Korpri No.1 Berastagi Medan,0628-93034,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Djamin Ginting Simp.Korpri No.1 Berastagi Medan"
Amanda Cikarang Selatan,Jl. Raya Serang No.38 Cikarang Selatan,021-8971643,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Serang No.38 Cikarang Selatan"
Amanda Cikarang Utara,"Jl. Raya Industri No.36,Cikarang Utara",021-8900277/89110011/8900277,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang Utara"
Ambar Subur,"Jl. Gemalapik No.82 Kp.Pasir Konci, Ds.Pasir Sari Cikarang Selatan, Cikarang Jawa Barat",021-89915304,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cikarang Jawa Barat"
AMC (Annisa Medical Center),"Jl. Raya Cileunyi Rancaekek, Bandung",022-7781630/70804777/70805777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bandung"
Aminah,Jl. Hos Cokroaminoto (Ciledug Raya) No.4A Kreo Selatan-Larangan,021-7371919/7371818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Hos Cokroaminoto (Ciledug Raya) No.4A Kreo Selatan-Larangan"
Amira,Jl. Ipik Gandamanah Rt.035 Rw.003 Munjul Jaya,0264-8221191/92,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ipik Gandamanah Rt.035 Rw.003 Munjul Jaya"
Ananda Babelan,"Jl. Raya Babelan Rt.002/001 Km 9.6 Kel. Kebalen, Kec.Babelan, Bekasi Jawa Barat",021-89234000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Jawa Barat"
Ananda Bekasi,"Jl. Sultan Agung No.17, Medan Satria Bekasi",021-8854338,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Medan Satria Bekasi"
Ananda Purwokerto,"Jl. Pemuda, No.30",0281-631435/636417,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.30"
Ananda Tambun Selatan (d/h. RS Multazam Medika),"Jl. Raya Perum Jatimulya, Pengkalan Koasi, K-19, Tambun",021-8215101/8215102,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tambun"
Andalan,"Ruko Grand Sutera Blok K3 No. 3 Rt.02/Rw.23 Kutabumi, Pasar Kemis, Tangerang",021-59710678,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang"
Andalucia,"Jl. Raya Serang-Pandeglang Km.5 Link.Nancang Baru Rt05/02 El. Tembong, Kec.Cipocok Jaya, Serang – Banten",0254-4077911,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Serang – Banten"
Andhika,"Jl. Warung Sila No.8 RT.006/004 Gudang Baru,Ciganjur,Jagakarsa, Jakarta Selatan",021-7863408/78887087,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan"
Andina Cikampek,Jl. Ir. H. Juanda No. 17 Cikampek,0264-303759,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ir. H. Juanda No. 17 Cikampek"
Andina Karawang,"Jl. Pancawati No. 5A Klari, Karawang",0267-438568,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Karawang"
Andini,Jl. Tuanku Tambusai No. 55 Pekanbaru,0761-33612,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Tuanku Tambusai No. 55 Pekanbaru"
Anggrek Mas,"Jl. Anggrek No.2B Rt.009/02 Kelapa Dua, Kebon Jeruk Jakarta Barat",021-5305720,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kebon Jeruk Jakarta Barat"
Anna,"Jl. Pekayon Raya No.36, Bekasi Selatan",021-82432211,"AXA Mandiri Financial Services, Individu Solution | Bekasi Selatan"
Anna Medika,"Jl. Raya Perjuangan No 45, Harapan Baru, Bekasi Utara",021-88882211,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Utara"
Anna Pekayon,"Jl. Pekayon Raya No.36, Bekasi Selatan",021-82432211,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi Selatan"
Annisa,"Jl. Jl. A. Yani RT 03, Kelurahan Mabuun, Kecamatan Murung Pudak, Kabupaten Tabalong Kal-Sel",0526-2031922,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kabupaten Tabalong Kal-Sel"
Annisa 1,"JL. Industri No.343 Maracang, Purwakarta Jawa Barat",0264-8222596,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Purwakarta Jawa Barat"
Annisa 2,"Jl. Pramuka No.107 Ds. Bunder, Purwakarta Jawa Barat",0264-8220201,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Purwakarta Jawa Barat"
Annisa Ciracas,Jl.  Ciracas No.18 Jakarta Timur,021-87720807/87717636,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.  Ciracas No.18 Jakarta Timur"
Annisa Citeureup,Jl. Karanggan No 02 Puspasari Citeureup - Bogor,021-8756780/8752628,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Karanggan No 02 Puspasari Citeureup - Bogor"
Annisa II,"Jl. Raya Cibarusah No.31R, Komp.Ruko Point,Sukaresmi-Cikarang.Bekasi",021-8976189,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sukaresmi-Cikarang.Bekasi"
Annisa IV,Jl.Raya Cibarusah No.63 Serangbaru - Bekasi 17331,021-89954434,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Raya Cibarusah No.63 Serangbaru - Bekasi 17331"
Annisa Padang,Jl.Pemuda No. 18 Padang,0751-31906,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Pemuda No. 18 Padang"
An-Nisa Tangerang,"Jl. Gatot Soebroto, No.96, Km.3, Cibodas",021-5525564,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cibodas"
An-Nur,Jl. Dr. Setia Budi No.63 Bandung,022-2031922,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Dr. Setia Budi No.63 Bandung"
Antam Medika,Jl. Pemuda Raya No. 1A. Pulo Gadung,021-29378939,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Pemuda Raya No. 1A. Pulo Gadung"
Anugerah Bunda Khatulistiwa,Jl. Ahmad Yani No. 5-7,0561-581818,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ahmad Yani No. 5-7"
Anugerah Medika Lampung,"Jl. Tulang Bawang No. 21 / 23 Enggal, Bandar Lampung - Lampung",0721-240488 / 262310,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bandar Lampung - Lampung"
Anugerah Semarang,Jl. Kalisari Baru No. 5-7 Semarang Jawa Tengah,024-8313543 / 8317142,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Kalisari Baru No. 5-7 Semarang Jawa Tengah"
Anugrah (Bhakti Rahayu Group),Jl. Nangka Selatan No.87 A Denpasar Bali,0361-8511918,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Nangka Selatan No.87 A Denpasar Bali"
Aqidah,"JL.Raden Fatah No.40 Parung Serab, Ciledug, Tangerang",021-73450244/7319025,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang"
Aqma Cikampek,"Jl. Stasiun, No.93",0264 - 310 524,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.93"
Aqma Plered,Jl. Anjun No.96 Plered,0264-270830,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Anjun No.96 Plered"
Aqma Purwakarta,"Jl. Ibrahim Singadilaga, No.14",0264-200377,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | No.14"
Ar Bunda Lubuk Linggau,"Jl. Garuda No.245 RT.03 Kel. Bandung Kiri, Kec. Linggau Barat I, Lubuk Linggau, Sumatera Selatan 31613",0733-324963 / 324955,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Sumatera Selatan 31613"
Ar Bunda Prabumulih,"Jl. Angkatan 45, Prabumulih","0713-322954, 7003330","AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Prabumulih"
Arabbani,"Jl. Raya Setu Cikaret Rt.002/Rw.002 Harapan Jaya, Cibinong, Bogor Jawa Barat",021-87910118,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bogor Jawa Barat"
Ardaya,Apartemen Bassura City Tower Geranium Lt.Gf Blok Bl 05-06 Cipinang Besar Selatan Jakarta Timur,081283339757,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Apartemen Bassura City Tower Geranium Lt.Gf Blok Bl 05-06 Cipinang Besar Selatan Jakarta Timur"
Ar-Rahman Galuh Mas,"Ruko Bharata Blok A-3A Jl. Bharata Blok U-23 Sukaluyu, Teluk Jambe Timur Karawang",0267-6484344,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Teluk Jambe Timur Karawang"
Ar-Rahman Medika,"Jl. Raya Peruri No.07, Teluk Jambe Timur Karawang",0267-8458155,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Teluk Jambe Timur Karawang"
Arsani,Jl.  Raya Air Kenanga Kec. Sungai Liat Kab. Bangka Belitung,0717-4297825/4297834,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.  Raya Air Kenanga Kec. Sungai Liat Kab. Bangka Belitung"
Artha Mahinrus,"Jl. Pasar III No. 151 Terusan Tuasan, Tegal Rejo, Medan Perjuangan, Medan Sumatera Utara",061-80088892/80086111,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Medan Sumatera Utara"
Artha Medica,JL. Samanhudi No.22 Binjai,061-8827277,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | JL. Samanhudi No.22 Binjai"
Asha,"Jl. Johar No. 1A Menteng, Jakarta Pusat",021-3905035/3905037,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Pusat"
Asih,Jl. Panglima Polim I No.34 Jakarta Selatan 12160,021-2700609,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Panglima Polim I No.34 Jakarta Selatan 12160"
Asri (Siloam Group),Jl. Duren Tiga Raya No. 20 Jakarta Selatan,021-7995566/7992211,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Duren Tiga Raya No. 20 Jakarta Selatan"
Asri Medika,Jl. Citanduy Raya Blok L Ii No.1 Cikarang Utara,021-89142968/89142969,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Citanduy Raya Blok L Ii No.1 Cikarang Utara"
Asri Purwakarta,Jl. Veteran Cihideung No.15 Purwakarta,0264-211680,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Veteran Cihideung No.15 Purwakarta"
Asyifa Depok (d/h Asy Syifa Medical Center),"Jl. Cinere Depok No 9 Rangkapan Jaya Baru Pancoran Mas, Depok",021-77883905/77885454,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Depok"
Asy-Syifa Sumbawa Barat,Jl. Lang Sesat Tanamira Taliwang Sumbawa Barat – NTB,0372-81999,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Lang Sesat Tanamira Taliwang Sumbawa Barat – NTB"
Atlantis,"Jl. Williem Iskandar, Komplek Mmtc Blok A.17-18 Medan Estate, Percut Sei Tuan, Deli Serdang Sumatera Utara",061-6627597/0811-6131718,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Deli Serdang Sumatera Utara"
Atma Jaya,Jl.Pluit Raya No.2,021-6606127,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Pluit Raya No.2"
At-Tin Husada,Jl. Raya Ngawi - Solo KM.4,0351-453381,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Ngawi - Solo KM.4"
AUDY DENTAL BALI,"Jl. Mahendradatta No.2A, Padangsambian, Kec. Denpasar Barat, Kota Denpasar, Bali 80119",0811-8801-7273,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bali 80119"
Audy Dental Bandung,Jl. Jend.Gatot Subroto No.47A Bandung Jawa Barat,022-87327952,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Jend.Gatot Subroto No.47A Bandung Jawa Barat"
Audy Dental Bandung Setrasari,"Ruko Setrasari Plaza, Jl. Surya Sumantri No.A-8, Sukagalih, Kec. Sukajadi, Kota Bandung, 40163",022-20280439,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | 40163"
Audy Dental Bekasi,"Ruko Grand Galaxy City Blok Rgg No.26, Kel.Jaka Setia Kec.Bekasi Selatan, Bekasi",021- 82733123 / 081212026161,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Audy Dental Bintaro,"Rukan Victorian Bintaro Blok Aa No.03, Jl. Bintaro Utama Sektor 3A, Pondok Aren, Tangerang Selatan",021-22734928 / 081382154488,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Selatan"
Audy Dental Bogor,"Jl. Pandu Raya No. 145 Tegal Gundil Bogor Utara, Kota Bogor Jawa Barat",0251-8342780,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kota Bogor Jawa Barat"
Audy Dental Bogor Baru,"Jl. Baru Sholeh Iskandar No.18 B Bogor, Jawa Barat",0251-8435869,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Audy Dental BSD,"Ruko Golden Boulevard Blok Q No. 3 Jl. Pahlawan Seribu Bsd, Tangerang Selatan, Banten",021-53161399,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Audy Dental Cawang,"Jl. Dewi Sartika No.292E, Rt.1/Rw.6, Cawang, Kec. Kramat Jati, Jakarta Timur",021 56922135,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
Audy Dental Cibubur,Komplek Ruko Jimbaran Citra Gran Blok R1 No.19 Jl. Alternatif Cibubur KM.4 Jatikarya Jatisampurna Bekasi Jawa Barat,021-28679387,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komplek Ruko Jimbaran Citra Gran Blok R1 No.19 Jl. Alternatif Cibubur KM.4 Jatikarya Jatisampurna Bekasi Jawa Barat"
Audy Dental Cikarang,"Ruko Sudirman Boulevard Jababeka, Jl. Cikarang Baru Raya B2 No 10, Desa/Kelurahan Mekarmukti, Kec. Cikarang Utara, Bekasi",0811-8252-100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Audy Dental Ciledug,Jl. Ciledug Raya No.73F Rt.1 Rw.1 Petukangan Utara Jakarta Selatan,081112201876,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Ciledug Raya No.73F Rt.1 Rw.1 Petukangan Utara Jakarta Selatan"
Audy Dental Cinere,"Jl. Cinere Raya No.3D Depok, Jawa Barat",0811-1986820,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jawa Barat"
Audy Dental Cipete,"Jl. Cipete Raya No.55, RT.006 RW.004 Kel.Cipete Selatan, Cilandak Jakarta Selatan",021-29124856 / 085775006872,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cilandak Jakarta Selatan"
Audy Dental Ciputat,"Ruko Juanda Blok 2H, Jl.Ir.H Juanda No 28A Rt 3 Rw 7 Kel.Pisangan, Ciputat Timur Tangerang - Banten",021-2784 6381,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Ciputat Timur Tangerang - Banten"
Audy Dental Depok,"Jl. Komjen Pol Jasin No.45 B Tugu, Cimanggis Depok",021 - 84050925,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Cimanggis Depok"
Audy Dental Gading Serpong,"Ruko Alexandrite 3, Jl. Boulevard Raya Gading Serpong No.23 Pakulonan Barat Kelapa Dua, Tangerang Banten 15810",021-54212186,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Tangerang Banten 15810"
Audy Dental Grand Wisata,"Grand Lake Boulevard Blok, Gb 1 No.5, Kel. Lambang Jaya, Kec. Tambun Selatan – Bekasi",0811-8065891,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Tambun Selatan – Bekasi"
AUDY DENTAL GREEN LAKE,"Green Lake City Ruko Wallstreet No.26, RT.008/RW.009, Petir, Kec. Cipondoh, Kota Tangerang, Banten",021 2309 5881 / 0811 1180 1979,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Audy Dental Greenville,Komplek Perumahan Greenville Blok BK No.6 RT.009 RW.014 Kel.Duri Kepa Kec.Kebon Jeruk Jakarta Barat,021-29401060 / 082211700082,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Komplek Perumahan Greenville Blok BK No.6 RT.009 RW.014 Kel.Duri Kepa Kec.Kebon Jeruk Jakarta Barat"
Audy Dental Harapan Indah,"Ruko Asia Tropis Blok At 16/17 Tarumajaya, Bekasi – Jawa Barat",021-88895605,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi – Jawa Barat"
Audy Dental Jagakarsa,"Komplek Kahfi Square, Jl. Moh Kahfi 1 No.361 Rt.7/Rw.1 Ciganjur, Kec. Jagakarsa Jakarta Selatan",021 38810072 / '081189901153,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kec. Jagakarsa Jakarta Selatan"
Audy Dental Karawang,"Ruko Neu River Garden, Jl. Arteri Galuh Mas Blok Aa No.1 Karawang Jawa Barat",0811-1078-757,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Arteri Galuh Mas Blok Aa No.1 Karawang Jawa Barat"
Audy Dental Kelapa Gading,"Ruko Mal Of Indonesia Blok K No.3, Jl.Boulevard Barat Raya No.1 Kelapa Gading Jakarta Utara",021-45869153 / 082298757541,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Boulevard Barat Raya No.1 Kelapa Gading Jakarta Utara"
Audy Dental Kelapa Gading Boulevard,"Boulevard Raya Blok LB 3/22, Desa/Kelurahan Kelapa Gading Timur, Kec. Kelapa Gading, Kota Adm. Jakarta Utara",021 278 209 52/0811-9231-322,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kota Adm. Jakarta Utara"
Audy Dental Kemang,"Jl Bangka Raya No.40D Pela Mampang, Mampang Jakarta Selatan",021-71794428 / 082122324969,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Mampang Jakarta Selatan"
Audy Dental Kuningan,"Tokopedia Tower Ciputra World 2 Lantai 12 Unit 7-9, Jl. Prof.Dr.Satrio Kav.11, Setiabudi Jakarta Selatan",021-25984754,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Setiabudi Jakarta Selatan"
Audy Dental Pantai Indah Kapuk,"Jl. Pantai Indah Selatan 1, Ruko Elang Laut Blok B No.20, RT.003 RW.003 Kel.Kamal Muara Kec.Penjaringan, Jakarta Utara",021-29219170 / 081291303052,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Utara"
Audy Dental Pondok Bambu,"Jl. Pahlawan Revolusi No.16B RT.003 RW.004 Kel.Pondok Bambu, Kec.Duren Sawit, Jakarta Timur",021- 29622453 / 081298813800,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
AUDY DENTAL PURI INDAH,"Jl. Sanggrahan No.70, Kel. Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, 11620",021 23099261/ 081112201875,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | 11620"
Audy Dental Rawamangun,"Jl. Balai Pustaka Timur No. 4A Rt 001 Rw 014 Kel. Rawamangun, Kec. Pulo Gadung, Jakarta Timur",021-38859022,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Timur"
Audy Dental Sawangan,Jl. Raya Bojongsari Vasanta Eco Town The Shoppes At Senopati Boulevard Blok D6 No.1&2 Depok Jawa Barat,021-39702813,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Bojongsari Vasanta Eco Town The Shoppes At Senopati Boulevard Blok D6 No.1&2 Depok Jawa Barat"
Audy Dental Semarang,"Jl. Gajahmada No.99C (Sebelah Phd), Miroto, Semarang Jawa Tengah 50134",024 - 86578341,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Semarang Jawa Tengah 50134"
Audy Dental Sunter,"Jl. Danau Agung 2, Blok E-10 No.22 C Sunter Agung, Jakarta Utara",021-22656221,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Utara"
Audy Dental Surabaya,Ruko Golden Palace Blok A No.9-10 Surabaya Jawa Timur,031-99150763 / 0811-1568198,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Ruko Golden Palace Blok A No.9-10 Surabaya Jawa Timur"
Audy Dental Taman Mini,Jl. Raya Pondok Gede No.27 Rt.12 Rw.1 Kel.Lubang Buaya Kec. Cipayung Jakarta Timur,021 29823888/0811-9153-132,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Raya Pondok Gede No.27 Rt.12 Rw.1 Kel.Lubang Buaya Kec. Cipayung Jakarta Timur"
Audy Dental Taman Palem,Ruko Sedayu Business Park G3 Jl. Taman Palem Lestari No.2 Jakarta Barat,0811-1078-757,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Ruko Sedayu Business Park G3 Jl. Taman Palem Lestari No.2 Jakarta Barat"
Audy Dental Tangerang City,"Jl. Perintis Kemerdekaan Ruko Tangerang City Babakan Tangerang, Banten",021-27848915/08119432100,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Banten"
Aulia,"Jl. Jeruk Raya No 15 Jagakarsa, Jakarta Selatan",021-7270208,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jakarta Selatan"
Aulia Hospital Pekanbaru,"Jl. Hr.Subrantas No. 63, Panam",0761-6700000,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Panam"
