nama_rumah_sakit,alamat,telp,text
RS T TKII DRJA LATUMETEN,JL. DR.TAMAELA NO.2,0911-353555,AMBON | rawat inap | rawat jalan | Sompo
APOTEK KF URIMESING AMBON,"JL. DIPONEGORO NO.66, AUHESEN, SIRIMAU, KOTA AMBON",0911-3822693/08114416456,AMBON | rawat jalan | Sompo
"APOTEK KF PEL 26
RSUD DR.HAULUSSY","JL. DR. KAYADOE, NUSANIWE",0911-3821573,AMBON | rawat jalan | Sompo
LAB KF DIAGNOSTIKA AMBON,JL. DIPONEGORO NO.66,8114455167,AMBON | rawat jalan | Sompo
KLINIK MEDIKA HARAPAN BULA SERAM BAGIAN TIMUR,"JL. DR.A.TAMAELA NUSANIWE, GALALA, BULA",0915-21008 / 081327330129,AMBON | rawat jalan | Sompo
RSUP DR.JOHANNES LEIMENA AMBON,"JL. R.SUPRAPTO NO.123 RUMAH TIGA, TELUK AMBON",0911-3687119,AMBON | rawat inap | rawat jalan | Sompo
SILOAM HOSPITALS AMBON,"JL. SULTAN HASANUDDIN, HATIVE KECIL, SIRIMAU",0911-3811900,AMBON | rawat inap | rawat jalan | Sompo
APOTEK KF PASSO,JL. WOLTER MANGONSIDI RT.003 RW. 01 NEGERI PASSO,81354720026,AMBON | rawat jalan | Sompo
KLINIK PRATAMA AL- AQSHA,"BTN MANUSELA BLOK B NO. 5-6, AIR KUNING",0911-312659,AMBON | rawat jalan | Sompo
RSU AL-FATAH AMBON,"JL. SULTAN BABULAH NO.2, KEL HONIPOPU, KEC SIRIMAU AMBON",0911-343848,AMBON | rawat jalan | Sompo
OPTIK MELAWAI A. Y. PATTY AMBON,"JL. A.Y. PATTY UNIT 86 KEL.
HONIPOPU KEC. SIRIMAU KOTA AMBON, MALUKU",0815-1960-4876,AMBON | rawat jalan | Sompo
RS SETIO HUSODO,"JL. S. M. RAJA NO.67 KISARAN, ASAHAN",0623-44999,ASAHAN | rawat inap | rawat jalan | Sompo
PRODIA KISARAN,JL. IMAM BONJOL NO.177,0623-348599,ASAHAN | rawat jalan | Sompo
RSU WIRA HUSADA,JL.KARTINI NO. 209 KEL. SENDANG SARI KEC. KOTA KISARAN BARAT,0623-42532,ASAHAN | rawat inap | rawat jalan | Sompo
RSU SEI DADAP,"JL. LINTAS SUMATERA, SEI DADAP, KAB. ASAHAN",0821-6606-4110,ASAHAN | rawat inap | rawat jalan | Sompo
RSU PERMATA HATI KISARAN,"JL. IR.JUANDA NO.21, KARANG ANYER, KISARAN TIMUR",062-343664,ASAHAN | rawat inap | rawat jalan | Sompo
RSU IBU KARTINI,"JL. SYECH SILAU RENGAS, KISARAN",0623-41579,ASAHAN | rawat inap | rawat jalan | Sompo
RSU BUNDA MULIA ASAHAN,"JL. ABDI SETIA BAKTI KEL. SEI
RENGGAS KEC. KOTA KISARAN BARAT",0812-6429-9098,ASAHAN | rawat inap | rawat jalan | Sompo
RSU LINA,"JL. LINTAS SUMATRA, AEL LOBA PEKAN, KEC. AEK KUASAN,
KABUPATEN ASAHAN, SUMATERA UTARA",623-3560270,ASAHAN | rawat jalan | Sompo
RSU KASIH IBU KEDONGANAN,"JL. ULUWATU NO.69A, KEDONGANAN",0361-703270,BADUNG | rawat inap | rawat jalan | Sompo
KLINIK KASIH IBU,"KOMPLEKS PERUM BUMI
DALUNG PERMAI, BLOK C1-C4",0361-422150 / 3700616,BADUNG | rawat jalan | Sompo
SILOAM HOSPITALS BALI,"JL. SUNSET ROAD NO.818, KUTA",0361-779900,BADUNG | rawat inap | rawat jalan | Sompo
APOTEK KF 0232 SEMINYAK,"JL. RAYA KEROBOKAN NO.140, KEROBOKAN KELOD, KUTA
UTARA, BADUNG",0361-736163/082359054773,BADUNG | rawat jalan | Sompo
APOTEK KF 0082,"JL. DEWI SARTIKA NO.67, KUTA, BADUNG",0361-757196/081139607717,BADUNG | rawat jalan | Sompo
APOTEK KF 0236 TAMAN GRIYA,"JL. DANAU BATUR RAYA NO.1 C, JIMBARAN, KUTA SELATAN, BADUNG",0361-8479785/089668391966,BADUNG | rawat jalan | Sompo
APOTEK KF 0126 NUSA DUA,"JL. BY PASS NGURAH RAI NO.890, BENOA, KUTA SELATAN, BADUNG",0361-778555/08113803386,BADUNG | rawat jalan | Sompo
APOTEK KF 0157,"JL. RAYA TUBAN NO.15XY, KUTA, BADUNG","0361-757472/0361-
757483/089624059165",BADUNG | rawat jalan | Sompo
APOTEK KF 0242 KUTA,"JL. RAYA KUTA NO.102, KUTA, BADUNG",089694342489,BADUNG | rawat jalan | Sompo
APOTEK KF 0376 TJ. BENOA,"JL. PRATAMA NO.79A,
LINGKUNGAN BANJAR TERORA, BENOA, KUTA SELATAN, BADUNG",0362-771069/081237286959,BADUNG | rawat jalan | Sompo
APOTEK KF 0384 BERAWA,"JL.RAYA
SEMAT,DS.TIBUBENENG,BADUNG
, TIBUBENENG, KUTA UTARA, BADUNG",0361761834/082114696984,BADUNG | rawat jalan | Sompo
APOTEK KF 0412 DSIX,"JL.RAYA LEGIAN KAJA NO.504, SEMINYAK, KUTA, BADUNG",0361-734970/087860618977,BADUNG | rawat jalan | Sompo
APOTEK KF 0415 PETITENGET,"JL. PETITENGET NO.7
KEROBOKAN, KEROBOKAN KELOD, KUTA UTARA, BADUNG",0361-9107709,BADUNG | rawat jalan | Sompo
APOTEK KF 0424 JIMBARAN,"JL. BUKIT PERMAI ,LING PESALAKAN, JIMBARAN, KUTA SELATAN, BADUNG",0361-704662/087750559185,BADUNG | rawat jalan | Sompo
OPTIK SEIS BALI DISCOVERY MAL,GROUND FLOOR NO. MG-18 JL. KARTIKA PLAZA -KUTA,0361-769836,BADUNG | rawat jalan | Sompo
OPTIK SEIS BEACHWALK,"LANTAI 2 NO. A-5 SAHID KUTA LIFESTYLE RESORT JL.  PANTAI KUTA, BALI 80361",0361-8464858,BADUNG | rawat jalan | Sompo
KLINIK BHAKSENA TRAGIA,JL. BY PASS NGURAH RAI KOMPLEKS PERTOKOAN TRAGIA BLOK D 20-22 NUSA DUA,0361-776821,BADUNG | rawat jalan | Sompo
KLINIK NURJAYA,"JL RAYA SEMPIDI NO 45 C, MENGWI - BADUNG BADUNG BALI",0361-427254,BADUNG | rawat jalan | Sompo
KLINIK KF BYPASS,"JL. BYPASS NGURAH RAI NO.74, KEDONGANAN, KUTA, BADUNG",0361-709154/081139607710,BADUNG | rawat jalan | Sompo
RS BALI JIMBARAN,"JL. KAMPUS UNUD LING.
PERARUDAN, JIMBARAN, KUTA SELATAN",0361-4725123 / 0821-3897-7403,BADUNG | rawat inap | rawat jalan | Sompo
OPTIK TUNGGAL THE VILLAGE SEMINYAK ( TVS ),"JL. KAYU JATI KELURAHAN BASANGKASA SEMINYAK, GF – 8",0361-474 1925,BADUNG | rawat jalan | Sompo
"OPTIK TUNGGAL
GALERIA BALI ( GLB ) DENPASAR","JL.RAYA BY PASS, I.GUSTI NGURAH RAI SIMPANG DEWA RUCI KOTA GROUND FLOOR /1B-
48 ( AREA DOME )",0361-767 071,BADUNG | rawat jalan | Sompo
"OPTIK TUNGGAL DISCOVERY
SHOPPING MAL ( KUB )","JL. KARTIKA PLAZA KEL.KUTA, KEC.KUTA, GF MG 12B - 12C",0361-769 828,BADUNG | rawat jalan | Sompo
OPTIK TUNGGAL BALI BEACH WALK ( BWK ),"JL.PANTAI KUTA-BALI.80361 (SAHID KUTA LIFESTYLE
RESORT) BANJAR PANGABETAN, KEC.KUTA, KAB.BADUNG",0361-8464 838,BADUNG | rawat jalan | Sompo
RS KHUSUS BEDAH BIMC NUSA DUA BALI,BLOK D KAWASAN BTDC NUSA DUA,0361-3000911,BADUNG | rawat inap | rawat jalan | Sompo
APOTEK KF 0579 KEROBOKAN,"JL. RAYA KEROBOKAN NO.15, KEROBOKAN KELOD, KUTA
UTARA, BADUNG",0361-735860/089679656159,BADUNG | rawat jalan | Sompo
APOTEK KF 0589 DEWI SRI,"JL. DEWI SRI NO.888, KUTA, BADUNG",0361-768402/08977721802,BADUNG | rawat jalan | Sompo
APOTEK KF 0598 KEDONGANAN,"JL. RAYA ULUWATU NO.24 JIMBARAN, JIMBARAN, KUTA SELATAN, BADUNG",0631-4725051/085739865507,BADUNG | rawat jalan | Sompo
APOTEK KF LEGIAN II,"JL. LEGIAN NO.204 LEGIAN KUTA, KUTA, BADUNG",0361-750647/081139607720,BADUNG | rawat jalan | Sompo
APOTEK KF P. JELANTIK,JL. P.JELANTIK NO.58 LEGIAN- KUTA BADUNG,0361-757818/089692412681,BADUNG | rawat jalan | Sompo
APOTEK KF PADMA,"JL. PADMA UTARA NO 9, LEGIAN, KUTA, BADUNG","0361-4727869/089688117816 /
081139607791",BADUNG | rawat jalan | Sompo
APOTEK KF PANTAI KUTA,"JL. PANTAI KUTA NO .22, KUTA, BADUNG",0361-4727873/081139607721,BADUNG | rawat jalan | Sompo
"APOTEK
KF.POPULAR BATU BELIG (PBB)","JL. SUBAK SARI, BR. TEGAL GUNDUL, DESA TIBUBENENG,
KUTA UTARA, TIBUBENENG, KUTA UTARA, BADUNG",08985919500,BADUNG | rawat jalan | Sompo
APOTEK KF PEPITO CANGU,"JL. RAYA CANGGU, KUTA UTARA, TIBUBENENG, KUTA UTARA, BADUNG",089695350190,BADUNG | rawat jalan | Sompo
KLINIK TAKENOKO,"JL. SUNSET ROAD NO.77A, KUTA",0361-4727288,BADUNG | rawat jalan | Sompo
KLINIK KYOAI BALI,JL. MERTANADI RUKO SUNSET JAYA NO.5 KUTA SUNSET ROAD,085338833787/085338833878,BADUNG | rawat jalan | Sompo
KLINIK DWI KARYA USADHA,"JL. RAYA KEROBOKAN
LINGKUNGAN BANJAR CAMPUAN KEL. KEROBOKAN KEC. KUTA
UTARA",0361-9342142,BADUNG | rawat jalan | Sompo
"OPTIK MELAWAI
GALERIA MALL BALI",LT.2 UNIT 2A NO.31,"0361-767047, 0855-1837-270",BADUNG | rawat jalan | Sompo
OPTIK MELAWAI BEACHWALK BALI,BEACHWALK LEVEL 2 NO.A-6 MOVE TO UNIT L2 NO.A-3A,"0361-8464904, 0855-1837-271",BADUNG | rawat jalan | Sompo
KLINIK PRATAMA PRIMA,"JL. SUBAK SARI NO.90 A, BANJAR DINAS TEGAL GUNDUL,
TIBUBENENG",0361-4740055 / 081237387131,BADUNG | rawat jalan | Sompo
BIMC HOSPITAL KUTA,"JL. BY PASS NGURAH RAI NO.100X, KUTA",0361-761263,BADUNG | rawat inap | rawat jalan | Sompo
RSU GARBA MED KEROBOKAN,"JL. RAYA KEROBOKAN,
LINGKUNGAN JAMBE NO.53
KEROBOKAN KAJA, KUTA UTARA",0361-9093584 / 9067493,BADUNG | rawat inap | rawat jalan | Sompo
KLINIK PRATAMA PUTU PARWATA,"JL. BHINEKA NUSA KANGIN NO.1X, DALUNG, KUTA UTARA",0853-3332-5848,BADUNG | rawat jalan | Sompo
KLINIK KF.0082 - KARTIKA PLAZA KUTA,JL. DEWI SARTIKA NO. 67,0361-766776,BADUNG | rawat jalan | Sompo
KLINIK KF.0126 - NUSADUA,JL. BYPASS NGURAH RAI NO.890,0361-778555,BADUNG | rawat jalan | Sompo
KLINIK KF.0236 - TAMAN GRIYA,JL. DANAU BATUR RAYA 1-C TAMAN GRIYA,0361-7428930,BADUNG | rawat jalan | Sompo
"APOTEK KF
ULUWATU UNGASAN",JL. CAMPLUNG TANDUK,89535548384,BADUNG | rawat jalan | Sompo
APOTEK KF SEMPIDI,"JL.RAYA SEMPIDI NO.12 MENGWI, BADUNG, BALI",8999967888,BADUNG | rawat jalan | Sompo
APOTEK KF SUNSET ROAD,"JL. SUNSET ROAD NO 16C, LINGKUNGAN BASANGKASA, KELURAHAN SEMINYAK, KECAMATAN KUTA",85739001063,BADUNG | rawat jalan | Sompo
APOTEK KF DALUNG,"PERUM DALUNG PERMAI BLOK GG 99 G, KUTA UTARA, BADUNG",8563815757,BADUNG | rawat jalan | Sompo
APOTEK KF MELASTI,"JL. MELASTI NO.116 LEGIAN, KUTA, BADUNG- BALI",81139607722,BADUNG | rawat jalan | Sompo
APOTEK KF PEPITO GWK,JL. RAYA ULUWATU BR GIRI DHARMA DS UNGASAN,81237670817,BADUNG | rawat jalan | Sompo
APOTEK KF BINTANG SEMINYAK,"JL. RAYA SEMINYAK NO.19,
SEMINYAK, KUTA, KABUPATEN BADUNG, BALI 80361",87860165371,BADUNG | rawat jalan | Sompo
"APOTEK KF
PEPITOPRERENAN","JALAN PERERENAN TANAH LOT, BR. KANGKANG DS.
PERERERENAN, MENGWI - BADUNG",81139607740,BADUNG | rawat jalan | Sompo
APOTEK KF ECHOBEACH,"JL. BATU MEJAN, BANJAR DINAS CANGGU",8113800222,BADUNG | rawat jalan | Sompo
"APOTEK KF
CAMPLUNG TANDUK",JL. CAMPLUNG TANDUK,87866854884,BADUNG | rawat jalan | Sompo
APOTEK KF KARTIKA PLAZA II,JL. KARTIKA PLAZA NO. 12 X,81139607739,BADUNG | rawat jalan | Sompo
APOTEK KF NAKULA,JL. NAKULA. PERTOKOAN NAKULA PLAZA A-9,81139607728,BADUNG | rawat jalan | Sompo
APOTEK KF UMALAS,"JL. UMALAS II NO. 102,
KEROBOKAN, KUTA UTARA, BADUNG, BALI",81339459634,BADUNG | rawat jalan | Sompo
APOTEK KF HEALTH & BEAUTY SEMINYAK,"JL.KAYU AYA NO.78, KEROBOKAN KELOD, KUTA
UTARA,BADUNG,BALI",81337953396,BADUNG | rawat jalan | Sompo
APOTEK KF UDAYANA,JALAN RAYA KAMPUS UDAYANA,82146888120,BADUNG | rawat jalan | Sompo
APOTEK KF SEMER,JALAN RAYA ANYAR SEMER NO 27 KEROBOKAN,85792304864,BADUNG | rawat jalan | Sompo
APOTEK KF H&B BATU BOLONG,"JALAN PANTAI BATU BOLONG NO.37 CANGGU, KUTA UTARA, BADUNG, BALI",81238413737,BADUNG | rawat jalan | Sompo
APOTEK KF PEPITO ND,"JALAN SILIGITA, LINGK. BUALU INDAH, KEL. BENOA, KEC. KUTA SELATAN, KAB. BADUNG",87859538993,BADUNG | rawat jalan | Sompo
APOTEK KF PADANG LUIH,"RAYA PADANG LUWIH NO.210, DALUNG-BADUNG",81138115371,BADUNG | rawat jalan | Sompo
APOTEK KF G. SANGIANG 2,"JL. GUNUNG SANGHYANG 2 NO.45X, KUTA UTARA,KAB. BADUNG, BALI",81138115373,BADUNG | rawat jalan | Sompo
RS UNIVERSITAS UDAYANA,"JL. RUMAH SAKIT UNIVERSITAS UDAYANA NO.1 JIMBARAN, BADUNG, BALI",0361-8953670,BADUNG | rawat inap | rawat jalan | Sompo
RSU MURNI TEGUH TUBAN BALI,"JL. RAYA TUBAN NO.1A/45, TUBAN, KUTA, KABUPATEN BADUNG, BALI",0361-2090700/081138300700,BADUNG | rawat inap | rawat jalan | Sompo
SILOAM CLINIC MERTANADI,"JL. MERTA NADI NO.4C, KUTA, KABUPATEN BADUNG",0361-4727871,BADUNG | rawat jalan | Sompo
KLINIK LINGKAR MEDIKA JIMBARAN BALI,"JL. TAMAN GIRI NO. 7, MUMBUL, BENOA, KUTA SELATAN, BADUNG BALI",0877-7151-4848,BADUNG | rawat jalan | Sompo
OPTIK TUNGGAL SEMPANA BEACH WALK BALI,"JL. PANTAI KUTA, SAHID KUTA
LIFESTYLE RESORT LT.1 NO.E-07",0811-8673-817,BADUNG | rawat jalan | Sompo
LABORATORIUM BUMAME - BENOA SQUARE,"JL. BYPASS NGURAH RAI A
KEDONGANAN NO 21, JIMBARAN",0896-5218-4976,BADUNG | rawat jalan | Sompo
OPTIK MELAWAI RUKO ULUWATU GWK,JL. ULUWATU NO 6 UNGASAN KEC. KUTA SELATAN,0815-1042-3907,BADUNG | rawat jalan | Sompo
KLINIK HYDRO MEDICAL,"JL. BATU BELIG, LINGK. UMALAS KAUH, KEL. KEROBOKAN KELOD, KEC. KUTA UTARA",0878-5585-9083,BADUNG | rawat jalan | Sompo
OPTIK OWL BEACHWALK KUTA,"BEACHWALK SHOPPING CENTER LT.2-A.17 JL. PANTAI KUTA, KUTA",0361-8464875,BADUNG | rawat jalan | Sompo
OPTIK MELAWAI DISCOVERY MALL BALI,"LT G NO.19A – JL. KARTIKA PLAZA KEL. KUTA, KEC. KUTA",0815-8532-6737,BADUNG | rawat jalan | Sompo
RS WINDU HUSADA,"JL. RAYA MAMBAL - UBUD, DESA/KELURAHAN MEKAR
BHUWANA, KEC. ABIANSEMAL, KAB. BADUNG, PROVINSI BALI",0361-8982888,BADUNG | rawat inap | rawat jalan | Sompo
OPTIK DR SPECS MALL BALI GALERIA,"MALL BALI GALERIA, LT. 2A UNIT 26, JL. BYPASS NGURAH RAI, KUTA, KEC. KUTA, KABUPATEN BADUNG, BALI",0817-6134-63,BADUNG | rawat jalan | Sompo
KLINIK KULHEN,JL. RAYA PADANG LUWIH 187 A DALUNG KUTA UTARA BADUNG BALI,361-425796,BADUNG | rawat jalan | Sompo
OPTIK MELAWAI RUKO BY PASS KUTA BALI,"JL. I GUSTI NGURAH RAI NO. 28, LINGKUNGAN JABA JERO, KEL. KUTA, KEC. KUTA,  PROPINSI BALI",0815-2910-3916,BADUNG | rawat jalan | Sompo
OPTIK MELAWAI KIMIA FARMA 157 TUBAN,"JL.RAYA KUTA, PERTOKOAN KUTA INDAH PERMAI NO.15 XY, KEL TUBAN,KEC KUTA, KAB BADUNG, PROVINSI BALI",0815-1942-0644,BADUNG | rawat jalan | Sompo
KLINIK PRATAMA SUKA KLINIK,"PERUM DALUNG PERMAI, JL. TEGAL PERMAI  NO.88,
KEROBOKAN KAJA, KEC. KUTA UTARA, KABUPATEN BADUNG, BALI",0361-4191-29,BADUNG | rawat jalan | Sompo
OPTIK SEIS RUKO CANGGU BALI,"JL PANTAI BATU BOLONG NO.99 UNIT NO.4, CANGGU-KUTA
UTARA, BALI",0361-3616077,BADUNG | rawat jalan | Sompo
"VIRTU DIGILAB
BRANCH NUSA DUA","JL. BY PASS NGURAH RAI NO 220, KEL. BENOA, KEC. KUTA
SELATAN, KAB. BADUNG, BALI",0361-4775019,BADUNG | rawat jalan | Sompo
OPTIK SATURDAYS MALL BALI GALERIA,"MALL BALI GALERIA UNIT CL EXT #1 JL. BYPASS NGURAH RAI,
DESA/KELURAHAN KUTA, KEC. KUTA, KAB.BADUNG, BALI",0877-4950-2553,BADUNG | rawat jalan | Sompo
OPTIK SEIS OWNDAYS BALI GALERIA 2,"FIRST FLOOR NO.CL EXT.02, JL BY PASS NGURAH RAI, KUTA, BADUNG, BALI",0361-9599032,BADUNG | rawat jalan | Sompo
KLINIK TEKAD MEDICAL CENTER,"JALAN TOYA NING NO. 18, DESA/KELURAHAN
KEDONGANAN",0813-3735-8085,BADUNG | rawat jalan | Sompo
APOTEK KF BALANGAN,"JL. A. YANI KM 5 BATU PIRING, PARINGIN SELATAN, BALANGAN",82255254122,BALANGAN | rawat jalan | Sompo
RS RESTU IBU BALIKPAPAN,JL. JEND. A. YANI NO.12,"0542-427342/3/40542-427342|0542-
427342",BALIKPAPAN | rawat inap | rawat jalan | Sompo
RS PERTAMINA BALIKPAPAN,JL. JEND SUDIRMAN NO.1,0542-421212 / 736134,BALIKPAPAN | rawat inap | rawat jalan | Sompo
RS TK II DR RHARDJANTO,JL. TANJUNGPURA NO.1 KLANDASAN ULU,0542-423409 / 414333,BALIKPAPAN | rawat inap | rawat jalan | Sompo
"RS MEDIKA UTAMA PERMATA
BALIKPAPAN",JL. IMAM BONJOL NO.1,0542-413932 / 413928,BALIKPAPAN | rawat inap | rawat jalan | Sompo
PANACEA CLINIC,KOMP MAL FANTASI BLOK AB2 NO.18-20 BALIKPAPAN BARU,"0542-877898,72040460751-
444712/5|0751-444712/5",BALIKPAPAN | rawat jalan | Sompo
RS BALIKPAPAN BARU,KOMP. BALIKPAPAN BARU JL. MT.HARYONO  BLOK.A-A3,0542-877330 / 876837,BALIKPAPAN | rawat inap | rawat jalan | Sompo
POLIKLINIK IBNU SINA BALIKPAPAN,JL. A.YANI NO.252 MUARA RAPAK,0542-427811 / 7209414,BALIKPAPAN | rawat jalan | Sompo
SILOAM HOSPITALS BALIKPAPAN,JL. MT.HARYONO NO.9 RINGROAD,0542-8862 999,BALIKPAPAN | rawat inap | rawat jalan | Sompo
APOTEK KF 0136,"JL. MT. HARYONO NO.72 DAMAI, BALIKPAPAN SELATAN",0542-763962/ 08115962472,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0056,"JL.  A.YANI, NO.95 GUNUNG SARI ILIR, BALIKPAPAN TENGAH,
BALIKPAPAN",0542-424187/ 08115961954,BALIKPAPAN | rawat jalan | Sompo
KLINIK MEDIKA UTAMA ( KMU SETIARA ),"JL. MULAWARMAN NO.9A-B RT.07, MANGGAR BARU, BALIKPAPAN TIMUR",0542-770846,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0293,"JL. A YANI NO 23 RT 25 KARANG REJO, BALIKPAPAN TENGAH",0542-792420/ 08115962032,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0068 - KLANDASAN,"JL. JEND. SUDIRMAN NO. 2-3 KLANDASAN, KLANDASAN ILIR, BALIKPAPAN SELATAN",0542-422691/ 08115962500,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0425 SEPINGGAN,JL. M.R ISWAHYUDI NO.702 SEPINGGAN,0542-7210391/ 081311525775,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0329,"JL. SOEKARNO HATTA KM 5 NO. 86, BATU AMPAR, BALIKPAPAN UTARA",0542-860024/ 08115961987,BALIKPAPAN | rawat jalan | Sompo
POLIKLINIK PANORAMA BALIKPAPAN,JL.  CEPU NO. 1 BALIKPAPAN,0542-7515811,BALIKPAPAN | rawat jalan | Sompo
RS MATA SMEC BALIKPAPAN,RUKO SENTRA EROPA BLOK AA 2B NO.16 BALIKPAPAN BARU,0542-876732 / 876941,BALIKPAPAN | rawat inap | rawat jalan | Sompo
KLINIK PRODIA BALIKPAPAN,"KOMP. PERTOKOAN BANDAR KLANDASAN BLOK D-11, JL. JEND. SUDIRMAN",0542-739337,BALIKPAPAN | rawat jalan | Sompo
OPTIK SEIS MAL BALIKPAPAN BARU,"LANTAI DASAR NO. G.8-9 JL.  MT. HARYONO, KOMP. BALIKPAPAN BARU",0542-877268,BALIKPAPAN | rawat jalan | Sompo
OPTIK SEIS E-WALK BALIKPAPAN,"UPPER GROUND NO. 39 JL.
JENDRAL SUDIRMAN KOMPLEK BALIKPAPAN SUPER BLOK",0542-7213780,BALIKPAPAN | rawat jalan | Sompo
"OPTIK
INTERNASIONAL BALIKPAPAN 1",JL. JEND.A.YANI NO.3A GUNUNGSARI HILIR - BALIKPAPAN,0542-412069,BALIKPAPAN | rawat jalan | Sompo
KLINIK KUSUMA MEDICAL CENTER,"JL.  MAYJEND SUTOYO NO. 38 RT. 48, GUNUNG MALANG",0542-8800020,BALIKPAPAN | rawat jalan | Sompo
RSUD DR KANUJOSO DJATIWIBOWO,"JL. MT.HARYONO NO.656, RINGROAD",0542-873837,BALIKPAPAN | rawat inap | rawat jalan | Sompo
APOTEK KF 0434 BAHAGIA,"JL. RUHUI RAHAYU BLOK 1 NO.1 GUNUNG BAHAGIA, GUNUNG BAHAGIA, BALIKPAPAN SELATAN,
BALIKPAPAN",0542-875822/8115961912,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0349,"JL. KOMPLEK BALIKPAPAN BARU BLOK C 7-8, DAMAI BARU,
BALIKPAPAN SELATAN",0542-876623/ 08115962749,BALIKPAPAN | rawat jalan | Sompo
APOTEK KF 0435 MANGGAR,"JL. MULAWARMAN NO.44
MANGGAR, BALIKPAPAN TIMUR",0542-7210441/ 08115962442,BALIKPAPAN | rawat jalan | Sompo
