nama_rumah_sakit,alamat,telp,text
RS AWAL BROS A. YANI,"JL JEND A YANI NO 73, PEKANBARU",(0761)21000,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RS EMC PEKAYON (DH OMNI PEKAYON),"JL PULO RIBUNG RT 001/ RW 021, KEL PEKAYON, BEKASI SELATAN, BEKASI",(021)29779999,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMC PULOMAS (DH OMNI MEDICAL CENTER),"JL. PULOMAS BARAT VI, JAKARTA TIMUR",(021)29779999,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMC SENTUL,"JL MH THAMRIN KAV 57, SENTUL CITY, BOGOR",(021)29672977,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMC TANGERANG,"JL. KH HASYIM ASHARI NO. 24, CIPONDOH, TANGERANG",(021)55752575,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS KHUSUS BEDAH COLUMBIA ASIA SEMARANG,"JL SILIWANGI NO 143, SEMARANG",(024)7629999,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MAYAPADA HOSPITAL BANDUNG,"JL TERUSAN BUAH BATU NO. 5, KEL BATUNUNGGAL, BANDUNG",(002)2860223777,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MAYAPADA HOSPITAL SURABAYA,"JL MAYJEN SUNGKONO NO 20, PAKIS, SAWAHAN, SURABAYA",(031)99217777,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MAYAPADA HOSPITAL TANGERANG,"JL. HONORIS RAYA KAV. 6, KOTA MODERN, KODYA DATI II, TANGERANG",(021)5529035,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MEDISTRA,"JL. JEND. GATOT SUBROTO KAV.59, JAKARTA SELATAN",(021)5210200,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MELINDA 2,"JL DR CIPTO NO 1, KEC. CICENDO, BANDUNG",(022)4233777,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA MELINDA,"JL PAJAJARAN NO 46, KEC. CICENDO, BANDUNG",(022)4222788,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BANDUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA BEKASI TIMUR,"JL PENGASINAN- RAWASEMUT, MARGAHAYU, BEKASI",(021)8817777,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA CIBUBUR,"JL. ALTERNATIVE TRANSYOGI, BEKASI",(021)84311771,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA DEPOK,"JL. MARGONDA RAYA, PANCORANMAS, DEPOK",(021)77210800,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA KELAPA GADING,"JL. BUKIT GADING RAYA KAV.2,, KELAPA GADING PERMAI, JAKARTA UTARA",(021)45852700,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA KEMAYORAN,"JL. HBR MOTIK, KEMAYORAN, JAKARTA PUSAT",(021)6545555,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA SURABAYA,"JL. SATELIT INDAH II, DHARMO SATELIT, SURABAYA",(031)7345333,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA TEGAL,"JL. SIPELEM NO. 4 KEMANDUNGAN, TEGAL BARAT, TEGAL",(0283)340999,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA TEGAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA TEGAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA TEGAL | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS MITRA KELUARGA WARU,"JL. LETJEND S PARMAN NO 8, WARU, SIDOARJO",(031)8543111,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN SIDOARJO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN SIDOARJO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN SIDOARJO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PONDOK INDAH BINTARO JAYA,"CBD EMERALD BLOK CE/C NO 1, BOULEVARD BINTARO JAYA, TANGERANG SELATAN",(021)80828888,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PONDOK INDAH PURI INDAH,"JL. PURI INDAH RAYA, BLOK S-2, KEMBANGAN SELATAN, JAKARTA BARAT",(021)25695222,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PONDOK INDAH,"JL. METRO DUTA KAV. UE, PONDOK INDAH, JAKARTA SELATAN",(021)7657525,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PRIMAYA BETANG PAMBELUM PALANGKARAYA,"JL TJILIK RIWUT KM 6,5 RT.002, RW.011, KEL.BUKIT TUNGGAL, PALANGKARAYA",(0536)4281888,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TENGAH | KOTA PALANGKA RAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TENGAH | KOTA PALANGKA RAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TENGAH | KOTA PALANGKA RAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PRIMAYA KARAWANG,"JL. ARTERI GALUH MAS, KEC. TELUKJAMBE TIMUR, KARAWANG",(0267)8417000,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS PRIMAYA MAKASSAR (D/H RS AWAL BROS),"JL. JEND URIP SUMOHARJO NO 43, KARUWISI UTARA, MAKASSAR",(0411)454567,Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KOTA MAKASSAR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KOTA MAKASSAR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KOTA MAKASSAR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS ROYAL PROGRESS,"JL.DANAU SUNTER UTARA, PERUMAHAN SUNTER PARADISE I, JAKARTA UTARA",(021)6400261,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS ROYAL SURABAYA,"JL RUNGKUT INDUSTRI I/I, SURABAYA",(031)3484111,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SILOAM HOSPITALS TB SIMATUPANG,"JL KARTINI NO 8 CILANDAK, JAKARTA SELATAN",(021)29531900,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SUMBER KASIH CIREBON,"JL SILIWANGI NO 135, CIREBON",(0231)203815,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA CIREBON | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS SURYA HUSADHA NUSA DUA,"JL SILIGITA BLOK 1 NO 4, KUTA SELATAN, BADUNG",(0361)775827,Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BALI | KABUPATEN BADUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS CIPUTRA CITRA GARDEN CITY,"JL BOULEVARD BLOK G1 NO 1, CITRA 5 GARDEN CITY, JAKARTA BARAT",(021)22557888,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
