nama_rumah_sakit,alamat,telp,text
RS. BINTANG,JL.  NGURAH RAI NO. 36 KLUNGKUNG - BALI,0366-25241,BALI | KLUNGKUNG | rawat inap | rawat jalan | aia
RSU. KASIH IBU KEDONGANAN,"JL. ULUWATU, NO.69A, KEDONGANAN",0361-703270,BALI | KUTA | rawat inap | rawat jalan | aia
SILOAM HOSPITALS BALI,"JL.  SUNSET ROAD NO. 818, KUTA",0361-779900,BALI | KUTA | rawat inap | rawat jalan | aia
RSU. SURYA HUSADHA NUSA DUA,"JL. SILIGITA, BLOK 1, NO.14",0361-775827,BALI | NUSA DUA | rawat inap | rawat jalan | aia
RS. BALIMED BULELENG,JL. GUNUNG LEMPUYANG NO.9X LINGKUNGAN T,(0362) 3307788,BALI | SINGARAJA | rawat inap | rawat jalan | aia
RS. WISMA PRASANTI,"JL.  YAH GANGGA NO. 9 TABANAN , BALI",0361-8043219/810555,BALI | TABANAN | rawat inap | rawat jalan | aia
RSU. KASIH IBU TABANAN,JL. FLAMBOYAN NO. 9 ( KAMPUNG KODOK ),0361-3005757,BALI | TABANAN | rawat inap | rawat jalan | aia
RSIA PURI BUNDA TABANAN,"JL. BYPASS IR.SOEKARNO, KEDIRI",0361-2095888,BALI | TABANAN | rawat inap | rawat jalan | aia
RSIA CAHAYA BUNDA TABANAN,"JL. BY PASS KEDIRI NO.8X, DELODED PEKEN, TABA",0361-8941576 / 085101584509,BALI | TABANAN | rawat inap | rawat jalan | aia
SILOAM HOSPITALS BANGKA BELITUNG,JL. SOEKARNO HATTA KM.5,0710-9190900,BANGKA BELITUNG | BANGKA TENGAH | rawat inap | rawat jalan | aia
RS. UTAMA TANJUNG PANDAN,JL. JENDERAL SUDIRMAN KM. 3 RT.019 RW. 008 K,0719-9222211,BANGKA BELITUNG | BELITUNG | rawat inap | rawat jalan | aia
RS BHAKTI TIMAH MUNTOK,"Jl. Raya Timah, Komp. Unit Metalurgi Muntok",0716-21009 / 21008,BANGKA BELITUNG | MUNTOK | rawat inap | rawat jalan | aia
RS. BAKTI TIMAH PANGKAL PINANG,JL.  BUKIT BARU NO.1 PANGKAL PINANG,0717-421091,BANGKA BELITUNG | PANGKAL PINANG | rawat inap | rawat jalan | aia
RS. KHATOLIK BHAKTI WARA,"JL.  SUNGAI SELAN, KM.4, NO.180",0717-422605,BANGKA BELITUNG | PANGKAL PINANG | rawat inap | rawat jalan | aia
RS. MEDIKA STANNIA,"JL.  JEND.SUDIRMAN, NO.3, SUNGAI LIAT",0717-95837/93335,BANGKA BELITUNG | PANGKAL PINANG | rawat inap | rawat jalan | aia
RS KALBU INTAN MEDIKA,"JL. BASUKI RACHMAD NO.888, BATU INTAN, GIRI",0717-9105888/434099,BANGKA BELITUNG | PANGKAL PINANG | rawat inap | rawat jalan | aia
RS. KURNIA CILEGON,JL. JOMBANG MASJID NO.4 CILEGON,0254-391161,BANTEN | CILEGON | rawat inap | rawat jalan | aia
RS. KRAKATAU MEDIKA,JL.  SEMANG RAYA - CILEGON,0254-396333; 0254-372180; 0254-372123,BANTEN | CILEGON | rawat inap | rawat jalan | aia
RSIA. MUTIARA BUNDA CILEGON,JL. SA TIRTAYASA RUKO MAISONETTE BLOK B 1-2,0254- 399988/376888/399968,BANTEN | CILEGON | rawat inap | rawat jalan | aia
RS. CITRA SUNDARI,JL TEMU PUTIH NO.100 CILEGON,0254-396710,BANTEN | CILEGON | rawat inap | rawat jalan | aia
RS. HERMINA CILEGON,KAWASAN PT. BONAULI REAL ESTATE JL. S.A TIRT,0254-8572525,BANTEN | CILEGON | rawat inap | rawat jalan | aia
RS. MISI LEBAK,JL. MULTATULI NO.41,0252-201014,BANTEN | RANGKASBITUNG | rawat inap | rawat jalan | aia
RS. ANDALUCIA,JL. RAYA PANDEGLANG KM 5 LINK. NANCANG,0254-4077911,BANTEN | SERANG | rawat inap | rawat jalan | aia
RSIA. PURI GARCIA,JL. GRIYA PURNAMA NO 99 TEGAL PADANG LEGO,0254-223333,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. SARI ASIH SERANG,"JL. JEND.SUDIRMAN, NO.38, PENANCANGAN, CIP",0254-220022,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. HERMINA CIRUAS,JL.  RAYA SERANG KM.9 DS.RANJENG - CIRUAS,0254-281829/ 0254-280555,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. BUDI ASIH,"JL. K.H. SOHARI, NO.39",0254-212484/218666,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. KURNIA SERANG,JL. JOMBANG MASJID NO.4,0254-391161 / 087885829059,BANTEN | SERANG | rawat inap | rawat jalan | aia
RSIA. PERMATA SERDANG,JALAN WARINGIN KURUNG RT 001/003 DESA SER,0254- 387515,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. TONGGAK HUSADA,"JL. RAYA BOJONEGARA NO.8, KP. TUNGGAK, DES",0254-8494205,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. FATIMAH SERANG,"RUKO SERANG CITY SQUARE BLOK A NO. 1, JL. SE",0254-7913678 / 087771906867,BANTEN | SERANG | rawat inap | rawat jalan | aia
RS. MELATI,"JL.  MERDEKA, NO.92",021-5523945/55776739,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
MAYAPADA HOSPITAL TANGERANG,"JL.  HONORIS RAYA, KAV.6, KOTA MODERN/KODY",021-5529035/55781999,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. SARI ASIH KARAWACI,JL.  IMAM BONJOL NO.38,021-552 2794; 021-5523239,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. BUNDA SEJATI,"JL. PRABU SILIWANGI NO.11, JATIUWUNG",021-5900136 / 59315850,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. AMINAH TANGERANG,JL. HOS COKROAMINOTO (CILEDUG RAYA) NO.4A,021-7371919/021-7371818,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. SARI ASIH CILEDUG,JL. HOS COKROAMINOTO NO.38 CILEDUG,021-7333430/ 33553359021-7332758,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. MURNI ASIH,"JL. RAYA BOJONGNANGKA NO 86, MEDANG, PAG",021-36868757/5470263/54200982/5463672021,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSU. BHAKTI ASIH,"JL. RADEN SALEH, NO.10, KARANG TENGAH",021-7305662/63/021-32575495,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. ISLAM ASSHOBIRIN,JL.  RAYA SERPONG KM.11 PONDOK JAGUNG - SE,021-5384314; 021-5374293,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
PRIMAYA HOSPITAL TANGERANG,JL. MH.THAMRIN NO.3 KEBON NANAS -CIKOKOL,021-55758888/55780888/55781234,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
EKA HOSPITAL BSD,"CENTRAL BUSINESS DISTRICT, LOT IX, BSD CITY",021-25655555,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
BUNDA DALIMA HOSPITAL,"BUMI SERPONG DAMAI, SEKTOR XIV, BLOK J.11,",021-53154447/8/9,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. PERMATA SARANA HUSADA,"PAMULANG PERMAI, BLOK D3, NO.1-2, PAMULA",021-7407421/22,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. TIARA TANGERANG,"JL. RAYA SERANG, NO.1, KM.4.5, CIKUPA",021-59401999,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA ILANUR,"JL.  RAYA SERANG, NO.1, BALARAJA",021-59450898/5953241,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. HERMINA CILEDUG,"JL. DR. CIPTO MANGUNKUSUMO, NO.3, CILEDUG",021-7301365/73454951,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. HERMINA TANGERANG,JL. KS.TUBUN NO.10 PASAR BARU,021-55772525,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSU. DINDA,"JL. GALUH NO.2 JATIUWUNG, TANGERANG",021-55650577,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. SARI ASIH CIPUTAT,"JL.  OTISTA RAYA NO. 3 SASAK TINGGI CIPUTAT, T",021-7410808,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. KELUARGA KITA,"JL. RAYA PLP CURUG KM. 4 NO. 8, DS SUKABAKTI",021 - 59491011 / 021 - 5986572,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. MEDIKA BSD,"JL.  LETNAN SOETOPO KAV. KOM. III A NO 7, BSD",021 - 5372296,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSU. SARI ASIH SANGIANG,"JL. RAYA MAUK.KM.3,5  SIMPANG TIGA SANGIAN",021-5582732,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. AN-NISA TANGERANG,"JL.  GATOT SOEBROTO, NO.96, KM.3, CIBODAS",021-5525564/021-557 91563,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. PREMIER BINTARO,"JL. MH THAMRIN NO.1, SEKTOR 7, BINTARO JAYA",021-745 5500/27625500,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. MULIA INSANI,JL.  RAYA SERANG KM 16.8 CIKUPA TANGERANG,021-5962790/5962998/5962996,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. MULYA,JL.  KH.HASYIM ASHARI NO.18 SUDIMARA PINAN,021-7322443; 7322445,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. HERMINA CIPUTAT,"JL.  CIPUTAT RAYA, NO.2 KERTAMUKTI CIPUTAT",021-74702525/30492525/30492524,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. PUTRA DALIMA,"GRIYA LOKA, SEKTOR 1.2, BLOK UA/26-27, BUMI",021-5380375/5388279021-5388279 / 53741,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. UIN SYARIF HIDAYATULLAH,"JL.  IR. H. JUANDA, NO.95, CIPUTAT",021-7402718/7499129,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. ICHSAN MEDICAL CENTER (IMC),"JL.  RAYA JOMBANG NO.56 BINTARO SEKTOR IX, T",021-7456379/ 021-7456386,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. QADR,"KOMPLEK ISLAMIC VILLAGE, KELAPA DUA",021-546 4466; 5463107; 5463106,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. BHINEKA BAKTI HUSADA,JL.  CABE RAYA NO.17 PONDOK CABE PAMULANG,021-7490018/7490829,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSU. ST CAROLUS SUMMARECON,JL. GADING GOLF BOULEVARD KAV. 08 GADING S,021-54220811,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS EMC TANGERANG,"JL.  KH HASYIM ASHARI NO.24 CIPONDOH, TANGE",021-55752575/5521270021-55755665/5521272,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. BUAH HATI PAMULANG,JL. RAYA SILIWANGI NO 189 PONDOK BENDA PA,021-7414488,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. EMC ALAM SUTERA,JL. ALAM SUTERA BOULEVARD KAV.25 SERPONG,021-29779999/85550711 - 353438,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. SELARAS CIKUPA,"JL. RAYA SERANG KM.18,5 DS BOJONG, CIKUPA",021-5969145/59401289/021-59401277,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. HERMINA SERPONG,"JL.  RAYA PUSPITEK KM.8 NO.99, SERPONG, TANG",(021) 7588 4999,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. HERMINA BITUNG,JL. RAYA SERANG KM. 10 RT 001/RW 004 KEL. CU,021-59497525,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. BUAH HATI CIPUTAT,JL. ARIA PUTRA NO 399 SERUA INDAH CIPUTAT -,021-74632222,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
CIPUTRA HOSPITAL,JL.  CITRA RAYA BOULEVARD BLOK V 00/08 SEKTO,021-59405555,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. KHUSUS BEDAH THT PROKLAMASI BSD,COMMERCIAL PARK CENTRAL BUSINESS OF DISTR,021-29002929,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. DHIA,"JL.  CENDRAWASIH NO.90, SAWAH LAMA CIPUTA",021-7494550/ 70310242,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS BRAWIJAYA TANGERANG,JL.  KH. MAS MANSYUR NO.2 KUNCIRAN TANGER,021-7334343/ 7300883,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. PERMATA PAMULANG,"JL.  RAYA SILIWANGI NO. 1A, PAMULANG TANGE",021-74704999/74709079,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. BUNDA SEJAHTERA,"JL.  RAYA PURI AGUNG NO 3, KOTA BARU- PASAR",021-5925889,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. TIARA TANGERANG,"JL. BRINGIN RAYA NO. 3-4-5, KEL. NUSAJAYA, KEC. KARAWACI, TANGERANG",,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS MITRA KELUARGA GADING SERPONG,"JL. RAYA LEGOK - KARAWACI, KEL. MEDANG",021-5568 9111,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
SILOAM HOSPITALS KELAPA DUA,Jl. RAYA KELAPA DUA NO.1001 KELAPA DUA,021 - 8052 4900,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. KARANG TENGAH MEDIKA (GROUP YADIKA),"JL.  KARYAWAN IV, KARANG TENGAH TANGERAN",021-7336699/7335599,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA BINA MEDIKA BINTARO,JL. RASUNA SAID KAV.B7/A5-08 SEKTOR 7 CBD BI,021-2931 8888,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. CITRA ANANDA,"JL. RE MARTADINATA NO. 30, CIPUTAT",(021) 7401347/ 0852 1795 1795,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS MENTARI TANGERANG,"JL. RAYA LEGOK KM.4 BOJONG NANGKA, KELAPA",021 22228000/22228008,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS HERMINA PERIUK TANGERANG,"Jl. Raya Kutabumi Kp. Nagrak RT 004 RW 006, Kel",021-2943 2525/021-2943 2524,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. MEDIKA LESTARI,JL. HOS COKROAMINOTO PERUM PONDOK L,021-5854858,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
PRIMAYA HOSPITAL PASAR KEMIS,"JL. RAYA PASAR KEMIS RT. 004 RW 002, KEL.",021-5971-5777,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS SARI ASIH CIPONDOH,"JL. MAULANA HASANUDIN NO.108, CIPOND",021-22263738,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA KARUNIA BUNDA,"JL. Aria Santika No.28 Sumur Pacing, Kel Margasa",021-5518866,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. SEPATAN MULIA,JL. SEPATAN PAKU HAJI NO.3 RT.002/RW.001 SEP,021-59371801,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS. METRO HOSPITALS M TOHA,JL. M. TOHA KM 2 NO. 1 NAMBO JAYA - KARAWA,021-5962790,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSIA. PRATIWI,"JL. RHM NOERADJI NO.42, KARAWACI",021-5520692/71342783021-43933978|021-439,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS MATA AHMAD WARDI,"Jl. Raya Taktakan No. 10, Lontar Baru , Serang, Ba",(0254) 7915503,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RSUP DR SITANALA TANGERANG,Jl. Dr. Sitanala No. 99 Kota Tangerang,(021) 5523059,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
RS HERMINA PIK DUA,"Jl. Raya Boulevard Osaka,Kel. Salembaran Jay",(021) 5523059,BANTEN | TANGERANG | rawat inap | rawat jalan | aia
MITRA KELUARGA BINTARO,"JL. RAYA BINTARO UTAMA SEKTOR 3A, PONDOK",021-27659777,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RS. AQIDAH,"JL. RADEN FATAH NO.40 PARUNG SERAB, CILEDU",(021) 7310851 / 73450244 / 7319025,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RS. INSAN PERMATA,"JL. BHAYANGKARA 1 NO.68 PAKUJAYA, SERONG U",021-53121344,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RSIA. VITALAYA,JL. RAYA SILIWANGI NO.1 PERUM PONDOK BEND,021-7470 3313,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RUMAH INDONESIA SEHAT HOSPITAL (RIS),"JL. LENGKONG GUDANG TIMUR RAYA NO.777, BS",(021) 29660950-53,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RSU HELSA CIPUTAT,"JL. W R SUPRATMAN NO.69, PD. RANJI, KEC. CIPU",021-7425751,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RSIA. CINTA KASIH,JL. CIPUTAT BARU RAYA NO.10 CIPUTAT,021-74706020 / 7424639,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RS MITRA KELUARGA PAMULANG,"Jl. Moch Toha RT 002/RW 017, Pamulang, Pamul",021-74792223,BANTEN | TANGERANG SELATAN | rawat inap | rawat jalan | aia
RS. BHAYANGKARA BENGKULU,"JL.  VETERAN, NO.2",0736-341086/21553,BENGKULU | BENGKULU | rawat inap | rawat jalan | aia
RS. RAFFLESIA BENGKULU,"JL.  MAHONI, NO.10, PADANG JATI",0736-21710,BENGKULU | BENGKULU | rawat inap | rawat jalan | aia
RSU UMMI BENGKULU,JL. HIBRIDA RAYA NO.01 RT.23/RW.08 SIDOMULY,(0736) 24832,BENGKULU | BENGKULU | rawat inap | rawat jalan | aia
RS. TIARA SELLA,JL. S. PARMAN NO.61 PADANG JATI,0736-20350 021-8221574|021-8221574,BENGKULU | BENGKULU | rawat inap | rawat jalan | aia
RS. PKU MUHAMMADIYAH BANTUL,JL.  JEND. SUDIRMAN 124-126,0274-368587,DI YOGJAKARTA | BANTUL | rawat inap | rawat jalan | aia
RS. UNIVERSITAS ISLAM INDONESIA (UII),"JL. SRANDAKAN KM. 5,5 WIJIREJO, PANDAK",0274-2812999,DI YOGJAKARTA | BANTUL | rawat inap | rawat jalan | aia
JOGJA INTERNATIONAL HOSPITAL (JIH),JL.  RING ROAD UTARA  NO.160 CONDONG CATU,0274-4463535/4463190,DI YOGJAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RS. HERMINA YOGYA,JL. MATARAMAN HERMINA RT 06 RW 50 GONDA,0274-2800808/2800909,DI YOGJAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RS. PKU MUHAMMADIYAH UNIT II,"JL.  WATES KM 5,5 GAMPING SLEMAN YOGYAKAR",0274-6499704/6499706,DI YOGJAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RS SAKINA IDAMAN,"JL. NYI CONDRO LUKITO NO.60, BLUNYAH GEDE,",(0274) 582039,DI YOGJAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RSI. YOGYAKARTA PDHI,"JL. SOLO KM.12,5 KALASAN, SLEMAN, YOGYAKAR",0274-498000,DI YOGJAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RSU. BUNGA BANGSA MEDIKA JOGJA,"JL. LILI KEMBANG, MAGUWOHARJO, DEPOK, SLE",0274-280-3000,DI YOGYAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RSUP DR. SARDJITO,JL. KESEHATAN NO.1 SEKIP,0274-587333|,DI YOGYAKARTA | SLEMAN | rawat inap | rawat jalan | aia
RS. PANTI RAPIH,"JL. CIK DITIRO, NO.30",0274-514014/514845/563333,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RS. BETHESDA YOGYAKARTA,JL.  JEND.SUDIRMAN NO.70,0274-586688/5622460274 -586688,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RSU. BETHESDA LEMPUYANGWANGI,JL. HAYAM WURUK NO.6,0274-512257/588002,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RS. HAPPYLAND MEDICAL CENTER,"JL.  IPDA TUT HARS. ONO NO. 53, TIMOHO",0274-550060/58,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RS. LUDIRA HUSADA TAMA,JL.  WIRATAMA NO.4 TEGALREJO 55244,0274 2871840/ 620333/620373/0274-620091,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RS. PKU MUHAMMADIYAH YOGYAKARTA,"JL.  K.H. ACHMAD DAHLAN, NO.20",0274-512653,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
SILOAM HOSPITAL YOGYAKARTA,JL. LAKSDA ADISUCIPTO NO. 32-34 KEL. DEMANG,,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RS. MATA DR.YAP,"JL.  TEUKU CIK DITIRO, NO.5",0274-562054,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RSKIA RACHMI YOGYAKARTA,"JL. KH.WACHID HASYIM NO.47, NOTOPRAJAN, N",(0274) 376717,DI YOGJAKARTA | YOGYAKARTA | rawat inap | rawat jalan | aia
RS. MEDIKA PERMATA HIJAU,"JL.  RAYA KEBAYORAN LAMA, NO.64","021 - 530 5288, 534 7411,021 - 534 741",DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
RS. ROYAL TARUMA,JL.  DAAN MOGOT NO.34 GROGOL,021-56958338/56967788,DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
RS. PATRIA IKKT,JL.  CENDRAWASIH NO.1 KOMP DEPHAN/MABES,021-5308981-84,DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
RS. BHAKTI MULIA,"JL.  AIPDA K.S.TUBUN, NO.79",021-5481625,DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
RS. PONDOK INDAH PURI INDAH,"JL.  PURI INDAH RAYA BLOK S2, KEMBANGAN SEL",021-25695222/25695200,DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
RS. PELNI,"JL.  AIP II  K.S. TUBUN, NO.92-94, PETAMBURAN",021-5306901-9/5349475/5460608/5484809021,DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
RS. HERMINA DAAN MOGOT,"JL.  KINTAMANI RAYA, NO.2, KAW. DAAN MOGOT",021-5408989,DKI JAKARTA | JAKARTA BARAT | rawat inap | rawat jalan | aia
