nama_rumah_sakit,alamat,telp,text
RSU MANUABA,JL. COKROAMINOTO NO. 28,"0361-426393/
ext 400",BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. PURI RAHARDJA,JL. W.R. SUPRATMAN NO. 14-19,0361-222013,BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. KASIH IBU DENPASAR,JL. TEUKU UMAR No. 120,0361-223036,BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSU SURYA HUSADHA,Jl. P. Serangan No. 7,"0361-233787 /
235041",BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSU BHAKTI RAHAYU DENPASAR,Jl. Gatot Subroto II / 77,"0361-430245/
430270",BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. BHAKTI RAHAYU TABANAN,Jl. Raya Batu Karu no. 2,0361-810805,BALI | DENPASAR | HOSPITAL | NO | NO | YES | INDIVIDU | MSIG
"KLINIK UTAMA NIKI DIAGNOSTIC
CENTER",Jl. Gatot Subroto II No. 5,0361-425333,"BALI | DENPASAR | LABORATORIU
M | NO | YES | NO | MCU | MSIG"
RSIA. PURI BUNDA,JL. GATOT SUBROTO VI / 19,0361-437999,BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. BALIMED,JL. MAHENDRATTA NO.57 X,"0361-484748/
482281",BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"LABORATORIUM KLINIK KIMIA
FARMA DENPASAR","Jl. Diponegoro No. 125, Denpasar, Bali",0361-239523,"BALI | DENPASAR | LABORATORIU
M | NO | YES | NO | MCU | MSIG"
"LABORATORIUM KLINIK PRODIA
DENPASAR","Jl. Raya Puputan No.56, Dangin Puri Klod, Kec. Denpasar Tim.,
Kota Denpasar, Bali 80234",0361-261001,"BALI | DENPASAR | LABORATORIU
M | NO | YES | NO | MCU | MSIG"
BALI ROYAL HOSPITAL,"JL. TANTULAR NO. 6 RENON, DENPASAR, BALI","0361-
228054/8049275",BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
APOTEK KIMIA FARMA 173,"JL BY PASS NGURAHRAI 232, SANUR",0361-283395,BALI | DENPASAR | APOTEK | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS MAL BALI GALLERIA,"LANTAI DASAR UNIT NO.1B - 49 JL.RAYA BY PASS NGURAH
RAI BALI",0361-752688,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS BEACHWALK,"LANTAI 2 NO.A-5 SAHID KUTA LIFESTYLE RESORT JL.PANTAI
KUTA BALI",0361-8464851,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
"RS KHUSUS DHARMA USADHA
SIDHI","JL. SERMA KAWI No. 13-17 DENPASAR, BALI-80114","0361-242
717/241013",BALI | DENPASAR | CLINIC | YES | NO | NO | CORPORATE | MSIG
BIMC HOSPITAL KUTA,"JL. RAYA BY PASS NGURAH RAI NO. 2003 BALI, INDONESIA",0361-761263,BALI | DENPASAR | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
"OPTIK MELAWAI GALERIA MALL
BALI",LT.2 UNIT 2A NO.31,0361-767047,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI GATOT SUBROTO
DENPASAR",JL. GATOT SUBROTO NO.314,0361-6207102,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK MELAWAI BEACHWALK BALI,BEACHWALK LEVEL 2 NO.A-6 MOVE TO UNIT L2 NO.A-3A,0361) 8464904,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS TRANS STUDIO BALI,"Jl. Imam Bonjol 440 GF F1-16, Denpasar, Bali",0361-6207102,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
RSIA. BUNDA DENPASAR,"Jl. Gatot Subroto No. 455 X, Padangsambian Kaja, Denpasar
Barat, Bali",818356455,BALI | DENPASAR | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
OPTIK SEIS PLAZA RENON,"First Floor no 1FL-12 Jl Raya Puputan No 210 Renon Denpasar
Timur Bali",0361-251482,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK SEIS LIVING WORLD
DENPASAR","First Floor Unit 1-23 Jl Gatot Subroto Timur Tonja Denpasa
Utara",0361-6200167,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
"HAPPY DENTAL CLINIC LIVING
WORLD DENPASAR","Lt. 2 JL Gatot Soebroto Tim, Tonja Denpasar Utara Kota
Denpasar Bali",0811-38113555,BALI | DENPASAR | DENTAL | YES | NO | NO | CORPORATE | MSIG
"LABORATORIUM KLINIK PRAMITA
DENPASAR",Jl. Diponegoro No.148,(0361) 4747774,"BALI | DENPASAR | LABORATORIU
M | YES | YES | NO | CORPORATE | MCU | MSIG"
KLINIK PRATAMA INTIBIOS BALI,"JL PUPUTAN NO 68 DANGIN PURI KLOD KEC DENPASAR TIM
KOTA DENPASAR BALI 80234",81818177171,"BALI | DENPASAR | LABORATORIU
M | NO | YES | NO | MCU | MSIG"
RSU SURYA HUSADHA UBUNG,JL COKROAMINOTO NO 356 UBUNG DENPASAR BALI,0361-430498,BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
OPTIK MELAWAI ICON BALI MALL,"UNIT UG-12 JL. DANAU TAMBLINGAN NO 27 KEL. SANUR KEC. DENPASAR SELATAN, DENPASAR PROVINSI BALI",0815 1972 5260,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI LIVING WORLD
BALI","LIVING WORLD DENPASAR ( LT 1 - NO 25 ) JL GATOT
SUBROTO TIM TONJA KEC DENPASAR UTARA",81585326765,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI RUKO HANG TUAH
SANUR","KOMPLEK RUKO WAYANG SANUR JL BYPASS NGURAH RAI
NO 5 SANUR KAJA DENPASAR SELATAN",81510423906,BALI | DENPASAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
AUDY DENTAL BALI,"Jl Mahendradatta No2A Padangsambian Kec Denpasar Barat
Kota Denpasar Bali 80119",81188017273,BALI | DENPASAR | DENTAL | YES | NO | NO | CORPORATE | MSIG
RSIA BALI ROYAL,Jl Tantular Barat No 80 Renon Denpasar Bali 80234,0361-2109000,BALI | DENPASAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. ARI CANTI,"Jl. Raya Mas No.88x, MAS, Ubud, MAS, Kecamatan Ubud,
Kabupaten Gianyar",0361-974573,BALI | GIANYAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"OPTIK MELAWAI RUKO GIANYAR
BALI","JL DHARMA GIRI KELURAHAN GIANYAR KECAMATAN
GIANYAR KABUPATEN GIANYAR",81585326808,BALI | GIANYAR | OPTIC | YES | NO | NO | CORPORATE | MSIG
SILOAM HOSPITALS BALI,Jl. SUNSET ROAD NO. 818 KUTA BALI 80361,0361-779900,BALI | KUTA BALI | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
OPTIK SEIS LIPPO PLAZA SUNSET,"GROUND FLOOR NO.09 JL.SUNSET ROAD,KUTA",0361-768511,BALI | KUTA BALI | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS KUTA SQUARE,"PERTOKOAN KUTA SQUARE BLOK D NO 21 JL.BAKUNG SARI
KUTA BALI",0361-7550971,BALI | KUTA BALI | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS BALI DISCOVERY MAL,GROUND FLOOR NO.MG-18 JL.KARTIKA PLAZA-KUTA,0361-7698361,BALI | KUTA BALI | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS BALI KUTA ICON MALL,LANTAI GF NO.35 JL.KARTIKA PLAZA-KUTA,0361-8496123,BALI | KUTA BALI | OPTIC | YES | NO | NO | CORPORATE | MSIG
APOTEK KIMIA FARMA 82,"JL. KARTIKA PLAZA, NO 67, KUTA- BALI",0361-757196,BALI | NUSA DUA BALI | APOTEK | YES | NO | NO | CORPORATE | MSIG
APOTEK KIMIA FARMA 232,"JL. RAYA GROBOGAN 140, SEMINYAK BALI",0361-736163,BALI | NUSA DUA BALI | APOTEK | YES | NO | NO | CORPORATE | MSIG
RSU SURYA HUSADHA NUSA DUA,JL RAYA SILIGITA BLOK I NO.14,0361-775627,BALI | NUSA DUA BALI | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSU. KASIH IBU TABANAN,JL. FLAMBOYAN NO. 9 TEGAL BELODAN,0361-3005757,BALI | TABANAN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"LABORATORIUM KLINIK PRODIA
TABANAN","RUKO BNI - BTN - KUMON - KAWASAKI JL. BY PASS IR.
SOEKARNO,",0361-4790499,"BALI | TABANAN | LABORATORIU
M | NO | YES | NO | MCU | MSIG"
"OPTIK MELAWAI RUKO TABANAN
BALI","JL. DR. IR. SOEKARNO, DESA BANJAR ANYAR, KECAMATAN
KEDIRI, KABUPATEN TABANAN",81585326809,BALI | TABANAN | OPTIC | YES | NO | NO | CORPORATE | MSIG
RS. EMC TANGERANG,JL. KH. HASYIM ASHARI 24 TANGERANG,021-55752575,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
RS. QADR,"KOMP. ISLAMIC VILLAGE - KELAPA DUA PO. BOX 492
TANGERANG",021-5464466,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. PERMATA DALIMA SERPONG,"BSD SEKTOR I.2 BLOK UA NO. 26 - 27, BUMI SERPONG DAMAI","021-
5376002/538827
9",BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
KLINIK PAMULANG MEDICAL CENTRE,Jl. Raya Pamulang Blok D II No. 2 Ciputat,"021-
7405317/707691
57",BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
RS. SYARIF HIDAYATULLAH,JL. IR. H. JUANDA NO. 95 CIPUTAT TANGERANG,021-7402718,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSU. MELATI,Jl. Merdeka No. 92 TANGERANG,"021-
5523945/ex.113",BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. SARI ASIH KARAWACI,JL. IMAM BONJOL NO. 38 . KARAWACI TANGERANG,"021-
5522794/EXT
108",BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"RS. ICHSAN MEDICAL CENTRE
BINTARO","JL. RAYA JOMBANG No. 56 BINTARO SEKTOR IX. JOMBANG -
CIPUTAT",021-7456379,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. MISI LEBAK,JL. MULTATULI NO 41 RANGKAS BITUNG,0252-201014,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. SARI ASIH CILEDUG,JL. HOS COKROAMINOTO NO. 38 CILEDUG (Jl. Raya Ciledug),"021-
73457726/73334
30",BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSU. MURNI ASIH,"JL. RAYA BOJONGNANGKA NO. 86 MEDANG PAGEDANGAN
TANGERANG",021-54202917,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
KLINIK MAHARANI,JL. PRAMBANAN RAYA NO. 28 PERUMNAS II TANGERANG,021-5919953,BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
RSIA. BUNDA SEJATI,Jl. P. SILIWANGI NO. 11 JATIUWUNG TANGERANG,021-5900136,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"RS MURNI TEGUH CILEDUG
TANGERANG","JL. HOS COKROAMINOTO (CILEDUG RAYA) NO. 4A KREO
SELATAN - LARANGAN",021-7371919,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
KLINIK & APOTEK SELARAS 24 JAM,JL. RAYA SERPONG RUKO E No. 43-45 SEKTOR IV SERPONG,"021-5370311/
5370310",BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
KLINIK KARUNIA SEHAT,"RUKO CIKUPA BLOK B No. 21-23 JL. RAYA SERANG KM 14,8
CIKUPA TANGERANG",021-5963001,BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
KLINIK DIANA PERMATA MEDIKA,JL. MH Thamrin NO. 87 ( Depan PT. Tifico) SERPONG,021-5397314,BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
RS. CINTA KASIH,JL. CIPUTAT BARU RAYA No. 10 CIPUTAT,021-7424639,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
KLINIK KELUARGA SEHAT,Jl. Villa Regency II Blok 1-2 Pasar Kemis TANGERANG,021-5921864,BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
RS. HERMINA TANGERANG,Jl. KS Tubun No.10 Kel. Pasar Baru. Kec. Karawaci,021-55772525,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
RS. MULYA,JL. KH. HASYIM ASHARI NO.18 SUDIMARA PINANG TANGERANG,"021-
7322443/732244
5",BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSIA PERMATA SARANA HUSADA,JL. PAMULANG PERMAI BLOK D3 NO. 1-2 CIPUTAT,021-7407422,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"KRAKATAU MEDIKA HEALTHCARE
SERANG",JL. A. YANI NO. 114 SERANG,0254-204407,BANTEN | BANTEN | CLINIC | YES | NO | NO | CORPORATE | MSIG
RS. HERMINA SERPONG,"JL. RAYA PUSPITEK KP. SETU RT002/01 KEL. BUARAN KEC.
SERPONG, TANGERANG SELATAN",021-75884999,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
RS. HERMINA CIRUAS,"Jl. Raya Serang Km. 9. Kp. Ranjeng Rt. 001 Rw. 001 Desa
Ranjeng. Kec. Ciruas. Kab Serang. Banteng",0254-281829,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
"CIPUTRA HOSPITAL CITRA RAYA
TANGERANG","JL. CITRA RAYA BOULEVARD BLOK V 00/08SEKTOR 3.4 CITRA
RAYA TANGERANG, BANTEN 15710",021-5940555,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
"RS. KHUSUS BEDAH THT
PROKLAMASI BSD","comercial park business of district BSD kav. no. 7 tangerang
selatan, banten",021-29002929,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
PRIMAYA HOSPITAL PASAR KEMIS,"kompleks CBD Pasar Kemis A 01, Pasar Kemis",+6221-5915777,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
RS. HERMINA CILEGON,"Jl. Nn No.65, RT.3/RW.3, Masigit, Kec. Jombang, Kota Cilegon",2547812525,BANTEN | BANTEN | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
RS. CITRA SUNDARI,"Jl. Temu Putih No.100, Jombang Wetan, Kec. Jombang, Kota
Cilegon, Banten 42411",0254-396710,BANTEN | BANTEN | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
OPTIK SEIS AEON MALL,JL.GRAND BOULEVARD BSD,021-29165233,"BANTEN | KAB.
TANGERANG | OPTIC | YES | NO | NO | CORPORATE | MSIG"
"APOTEK FARMARIN IV BINTARO
(Dengan Praktek Dokter)","JL. PONDOK BETUNG RAYA NO. 46 RT. 001/05, PONDOK
BETUNG, PONDOK AREN",85695025549,"BANTEN | KAB.
TANGERANG | APOTEK | YES | NO | NO | CORPORATE | MSIG"
KLINIK ECO MEDIKA,JL. ECOPOLIS UTAMA CITRA RAYA TANGERANG,021-59405555,"BANTEN | KAB.
TANGERANG | CLINIC | YES | NO | NO | CORPORATE | MSIG"
RS. MENTARI,"JL. RAYA LEGOK KM.4 KELAPA DUA, TANGERANG","021-22228008,","BANTEN | KAB.
TANGERANG | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG"
HAPPY DENTAL CLINIC SUMMARECON MALL SERPONG,Summarecon Mall Serpong Lt 1 Gading Serpong Jl. Boulevard Raya Gading Serpong Kab Tangerang,0817-0777921,BANTEN | KAB. TANGERANG | DENTAL | YES | NO | NO | CORPORATE | MSIG
HI DENTAL CLINIC,"BOULEVARD RAYA GADING SERPONG BLOK BA-03/61,
KEL.PAKULONAN BARA, KEC.KELAPA DUA",82123131100,"BANTEN | KAB.
TANGERANG | DENTAL | YES | NO | NO | CORPORATE | MSIG"
"OPTIK MELAWAI RUKO GADING
SERPONG","RUKO 1B, JL. GADING SERPONG BOULEVARD BLOK BA-03
NO.36",0815 1046 5153,"BANTEN | KAB.
TANGERANG | OPTIC | YES | NO | NO | CORPORATE | MSIG"
"HAPPY DENTAL CLINIC SUPERMALL
KARAWACI","SUPERMALL KARAWACI LANTAI FF NO.16 JL.BOULEVARD
KELAPA DUA",81181128899,"BANTEN | KAB.
TANGERANG | DENTAL | YES | NO | NO | CORPORATE | MSIG"
ORTHOPOINT CLINIC,"Ruko Foresta Business Loft 5 No 16-17, Jl BSD Boulevard
Utara No 12 Tangerang Banten",021-29915945,"BANTEN | KAB.
TANGERANG | DENTAL | YES | NO | NO | CORPORATE | MSIG"
BIOMEDILAB CIKUPA,"RUKO GRIYA IDOLA INDUSTRIAL PARK UNIT AB 11 JL RAYA
SERANG KM 12 KAB TANGERANG 15710",021-59647418,"BANTEN | KAB.
TANGERANG | LABORATORIU
M | YES | YES | NO | CORPORATE | MCU | MSIG"
RS HERMINA PIK DUA,"Jalan Raya Boulevard Osaka Kab Tangerang Provinsi Banten
15214",1500488,"BANTEN | KAB.
TANGERANG | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG"
HAPPY DENTAL CLINIC CABANG AEON MALL BUMI SERPONG DAMAI,AEON MALL Bumi Serpong Damai Unit 2 - 58 A Lt 2 Situ Gadung Kec Pagedangan Kab Tangerang Banten 15339,87778110048,BANTEN | KAB. TANGERANG | DENTAL | YES | NO | NO | CORPORATE | MSIG
KLINIK SERANG MEDIKA,"Jl. RAYA SERANG CILEGON RUKO LEGOK SUKMA JAYA BLOK
5C NO.1",0254-223992,BANTEN | SERANG | CLINIC | YES | NO | NO | CORPORATE | MSIG
RS. BUDIASIH,JL. K.H. SOHARI NO. 39,"0254-
212484/218666",BANTEN | SERANG | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
KLINIK MODERN MEDIKA KRAGILAN,JL. RAYA SERANG KM. 15 RUKO D-9,0254-281720,BANTEN | SERANG | CLINIC | YES | NO | NO | CORPORATE | MSIG
KLINIK IKHLAS MEDIKA I,KOMP BUMI AGUNG PERMAI I D1 No. 6 SERANG,0254-207918,BANTEN | SERANG | CLINIC | YES | NO | NO | CORPORATE | MSIG
KLINIK IKHLAS MEDIKA II,"JL. RAYA SERANG-JAKARTA KM 4 PAKUPATAN, SERANG",0254-284937,BANTEN | SERANG | CLINIC | YES | NO | NO | CORPORATE | MSIG
