nama_rumah_sakit,alamat,telp,text
RS SARI ASIH SERANG,"JL. JENDRAL SUDIRMAN NO. 38, PENANCANGAN, KEC. SERANG, KOTA SERANG, BANTEN 42118",0254-220022,BANTEN | KOTA SERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
MAYAPADA HOSPITAL TANGERANG,"MODERNLAND, JL. HONORIS RAYA NO.KAV. 6, KLP. INDAH, KEC. TANGERANG, KOTA TANGERANG, BANTEN",021-5529035,BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
PRIMAYA HOSPITAL TANGERANG,"JL. MH. THAMRIN NO.3, KEBON NANAS CIKOKOL, PANUNGGANGAN UTARA, PINANG, PANUNGGANGAN UTARA, PINANG, KOTA TANGERANG, BANTEN","021-55780888 /
55781234",BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | REIMBURSMENT ONLY | Manulife
RS EMC TANGERANG,"JL. KH HASYIM ASHARI NO.24, RT.001/RW.007, BUARAN INDAH, KEC. TANGERANG, KOTA TANGERANG, BANTEN","021-55752575 /
5521270",BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA PERIUK TANGERANG,JL. MOH TOHA KP. NAGRAK RT 004 RW 006 KEL.PERIUK KEC. PERIUK KOTA TANGERANG PROPINSI BANTEN,021 – 2943 2525,BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA TANGERANG,"JL. KS. TUBUN NO.10, PASAR BARU, KARAWACI, KOTA TANGERANG, BANTEN",021-55772525,BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MANDAYA ROYAL PURI,"JL. METLAND BOULEVARD LOT. C-3 METLAND CYBER CITY, PARUNG JAYA, KEC. KARANG TENGAH, KOTA TANGERANG, BANTEN 15159",021-50928888,BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS SARI ASIH SANGIANG,"JL. MOH. TOHA KM. 3.5, PERIUK JAYA, PERIUK, KOTA TANGERANG, BANTEN",021-55768751,BANTEN | KOTA TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
EKA HOSPITAL BSD,"CENTRAL BUSINESS DISTRICT, JL. BOULEVARD BSD TIMUR, LENGKONG GUDANG, KEC. SERPONG, KOTA TANGERANG SELATAN, BANTEN 15321",021-25655555,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS EMC ALAM SUTERA,"JL. ALAM SUTERA BOULEVARD KAV. 25, PAKULONAN, SERPONG UTARA, PAKULONAN, KEC. SERPONG UTARA, KOTA TANGERANG SELATAN, BANTEN",021-29779999,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA CIPUTAT,JL. CIPUTAT RAYA NO. 2/ KERTAMUKTI TANGERANG SELATAN,021-74702525,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA SERPONG,"JL. RAYA PUSPITEK KM 1 NO 99, BUARAN, SERPONG, BUARAN, SERPONG, KOTA TANGERANG SELATAN, BANTEN",021-75884999,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MITRA KELUARGA BINTARO,"JL. BINTARO UTAMA 3, PD. KARYA, KEC. PD. AREN, KOTA TANGERANG SELATAN, BANTEN",021-27659777,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MITRA KELUARGA PAMULANG,"JL. MOCH. TOHA, RT.002/RW.017, PAMULANG TIMUR, KEC. PAMULANG, TANGGERANG SELATAN, BANTEN 15417",021-74792223,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS PONDOK INDAH - BINTARO JAYA,"JL. BOULEVARD BINTARO JAYA, CBD DISCOVERY BLOK CE/C NO. 1 TANGERANG SELATAN",021-80828888,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS PREMIER BINTARO,"JL. M.H. THAMRIN NO. 1, SEKTOR 7, BINTARO JAYA, PONDOK JAYA, PONDOK AREN, TANGERANG",021-7455500,BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS CINTA KASIH,"JL. CIPUTAT BARU NO.10, SAWAH LAMA, KEC. CIPUTAT, KOTA TANGERANG SELATAN, BANTEN 15413","021-74706020 /
7424639",BANTEN | KOTA TANGERANG SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS RAFFLESIA BENGKULU,JL. MAHONI NO.10 KELURAHAN PADANG JATI KECAMATAN RATU SAMBAN KOTA BENGKULU,0736-21710,BENGKULU | KOTA BENGKULU | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RSU QUEEN LATIFA KULON PROGO,"JL. YOGYAKARTA - WATES NO.KM 21, WORA WARI, SUKORENO, KEC. SENTOLO, KABUPATEN KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",0274-2890679,D.I YOGYAKARTA | KABUPATEN KULON PROGO | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
JIH JOGJA,"JL. RING ROAD UTARA NO.160, PERUMNAS CONDONG CATUR, CONDONGCATUR, KEC. DEPOK, KABUPATEN SLEMAN, DAERAH ISTIMEWA YOGYAKARTA 55283","0274-4463535 /
4463190",D.I YOGYAKARTA | KABUPATEN SLEMAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA YOGYA,"JL. SELOKAN MATARAM, RT. 06 / RW. 50, MAGUWOHARJO, DEPOK, MAGUWOHARJO, KEC. DEPOK, KABUPATEN SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",0274-2800808,D.I YOGYAKARTA | KABUPATEN SLEMAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS YOGYAKARTA,"JL. LAKSDA ADISUCIPTO NO.32-34 KELURAHAN DEMANGAN,KECAMATAN GONDOKUSUMAN, YOGYAKARTA",0274-4600900,D.I YOGYAKARTA | KOTA YOGYAKARTA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
CIPUTRA HOSPITAL CITRA GARDEN CITY JAKARTA BARAT,"JL. BOULEVARD RAYA BLOK G1 NO.1, CITRA 5 - CITRAGARDEN CITY, RT.1/RW.16, KEL. PEGADUNGAN, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11830",021-22557888,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS GRHA KEDOYA,"JL. PANJANG ARTERI 26, RT.15/RW.7, KEDOYA UTARA, KEBON JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-29910999,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA DAAN MOGOT,"JL. KINTAMANI RAYA NO. 2, PERUMAHAN DAAN MOGOT BARU, JAKARTA BARAT",021-5408989,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MATA JEC KEDOYA,"JL. TERUSAN ARJUNA UTARA NO.1, RT.7/RW.3, KEDOYA SELATAN, KEBON JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-29221000,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MEDIKA PERMATA HIJAU,"JL. RAYA KEBAYORAN LAMA NO.64, RT.6/RW.8, SUKABUMI SELATAN, KEBON JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-5305288 / 5347411,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MITRA KELUARGA KALIDERES,"JL. PETA SELATAN NO.1, KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-22523700 ext.6062,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS PONDOK INDAH - PURI INDAH,"JL. PURI INDAH RAYA, BLOK S-2, KEMBANGAN SELATAN, JAKARTA BARAT - 11610",021-25695222,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS ROYAL TARUMA,"JL. DAAN MOGOT NO.34 RT.06/RW.01, TANJUNG DUREN UTARA, GROGOL PETAMBURAN, JAKARTA BARAT, DKI JAKARTA",021-56958338,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS KEBON JERUK,JL. RAYA PERJUANGAN KAV.08 KEBON JERUK,021-25677888,DKI JAKARTA | KOTA JAKARTA BARAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
PRIMAYA HOSPITAL EVASARI,"JL. RAWAMANGUN NO. 47, PRAMUKA, RT.7/RW.3, RAWASARI, CEMPAKA PUTIH, RT.7/RW.3, RAWASARI, CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-4202851,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
PRIMAYA PGI CIKINI,"JL. RADEN SALEH RAYA NO.40, RT.12/RW.2, CIKINI, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-38997777,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS ABDI WALUYO,"JL. HOS. COKROAMINOTO NO.31-33, RT.1/RW.3, GONDANGDIA, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-3144989,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA KEMAYORAN,"JL. SELANGIT B-10 KAVLING NO. 4 GUNUNG SAHARI SELATAN, KEMAYORAN, KOTA JAKARTA PUSAT","021-22602525 / (WA)
085694155353",DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HUSADA JAKARTA,"JL. RAYA MANGGA BESAR NO.137-139, RW.1, MANGGA DUA SELATAN, SAWAH BESAR, KOTA JAKARTA PUSAT, DKI JAKARTA",021-6260108,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MATA JEC MENTENG,"JL. TEUKU CIK DITIRO NO.46, RT.10/RW.5, MENTENG, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10310",021-29221000,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MITRA KELUARGA KEMAYORAN,"JL HBR MOTIK KEMAYORAN, JAKARTA PUSAT",021-6545555 / 888,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS ST. CAROLUS SALEMBA,"JL. SALEMBA RAYA NO.41, RT.3/RW.5, PASEBAN, KEC. SENEN, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10440",021-3904441,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS YARSI,"MENARA YARSI KAV. 13 LT. 1, JL. LETJEN. SUPRAPTO, RT. 10 RW. 5, SENEN, RT.10/RW.5, CEMPAKA PUTIH TIMUR, SENEN, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA","021-80618618 / 021-
80618619",DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS AGORA,"HOLLAND VILLAGE JAKARTA, JL. LETJEN SUPRAPTO NO.1 KAV.60, RT.10/RW.7, CEMP. PUTIH TIM., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10510",811168541,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS ISLAM JAKARTA CEMPAKA PUTIH,"JL. CEMPAKA PUTIH TENGAH I NO.1, RT.11/RW.5, CEMPAKA PUTIH TIMUR, RT.11/RW.5, CEMPAKA PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",021-4244208,DKI JAKARTA | KOTA JAKARTA PUSAT | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
MAYAPADA HOSPITAL JAKARTA SELATAN,"JL. LEBAK BULUS 1 KAV. 29 CILANDAK BARAT, CILANDAK - JAKARTA SELATAN",021-29217777,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
MAYAPADA HOSPITAL KUNINGAN,"JL. H. R. RASUNA SAID NO NO.KAV C-17, RT.2/RW.5, KARET KUNINGAN, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12940",021-50912929,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
MRCCC SILOAM HOSPITALS SEMANGGI,"JL. GARNISUN KAV. 2-3, KARET SEMANGGI-SETIABUDI, JAKARTA SELATAN 12930",021-29962888,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MMC,"JL. HAJI R. RASUNA SAID NO.KAV. C 20-21, RT.1/RW.5, KARET KUNINGAN, SETIABUDI, KOTA JAKARTA SELATAN, DKI JAKARTA",021- 5203435,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS PONDOK INDAH - PONDOK INDAH,"JL. METRO DUTA KAV. UE, PONDOK INDAH, JAKARTA SELATAN, 12310",021-7657525 / 7692252,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS ASRI,JL. DUREN TIGA NO. 20 JAKARTA SELATAN 12760,021-7995566 / 7992210,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS MAMPANG,"JL. MAMPANG PRAPATAN XVI NO. 22, RT.2/RW.5, DUREN TIGA, KEC. PANCORAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12760",021-5010 2911 / 29100,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS TB SIMATUPANG,"JL. RA KARTINI NO. 8 CILANDAK, JAKARTA SELATAN 12430",021-29531900,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MEDISTRA,"JL. GATOT SUBROTO NO.KAV 59, RT.1/RW.4, KUNINGAN TIMUR, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DKI JAKARTA 12950",021-5210200,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS JAKARTA,"JL. JEND. SUDIRMAN NO.KAV 49, RT.5/RW.4, KARET SEMANGGI, SETIA BUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",021-5732241 / 5741828,DKI JAKARTA | KOTA JAKARTA SELATAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS EMC PULOMAS,"JL. PULO MAS BARAT VI NO.20, RT.1/RW.11, KAYU PUTIH, KEC. PULO GADUNG, KOTA JAKARTA TIMUR, DKI JAKARTA",021-29779999,DKI JAKARTA | KOTA JAKARTA TIMUR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA JATINEGARA,JL. RAYA JATINEGARA BARAT NO. 126 JAKARTA TIMUR,021-8191223 / 8504371,DKI JAKARTA | KOTA JAKARTA TIMUR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS PREMIER JATINEGARA,"JL. RAYA JATINEGARA TIMUR NO.85, BALI MESTER, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",021-2800666/777,DKI JAKARTA | KOTA JAKARTA TIMUR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS RESTU KASIH,"JL. RAYA BOGOR KM.19 NO.3A, RT.3/RW.1, KRAMAT JATI, RT.3/RW.1, KRAMAT JATI, KRAMATJATI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",021-8002166,DKI JAKARTA | KOTA JAKARTA TIMUR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS GADING PLUIT,"JL. BOULEVARD TIMUR, RT.5/RW.2, PEGANGSAAN DUA, KELAPA GADING, RT.5/RW.2, KOTA JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",021-452 1001 / 4520201,DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA PODOMORO,"JL. DANAU AGUNG 2 BLOK E 3 NO. 28 - 30, SUNTER AGUNG, TANJUNG PRIOK, RT.3/RW.16, SUNTER AGUNG, TANJUNG PRIOK, KOTA JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",021-6404910,DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MATA JEC PRIMASANA TJ. PRIOK,"JL. KB. BAWANG NO.1, RT.13/RW.1, KB. BAWANG, TJ. PRIOK, KOTA JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14320",0858-9498-1159,DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MITRA KELUARGA KELAPA GADING,"JL. BUKIT GADING RAYA KAV. 2, KELAPA GADING BARAT, JAKARTA",021-45852700,DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS PLUIT,"JL. PLUIT SELATAN RAYA NO.2, RT.7/RW.7, PLUIT, PENJARINGAN, KOTA JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA","021-6685006 /
6685070",DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS ROYAL PROGRESS,"JL. DANAU SUNTER UTARA, RT.6/RW.12, SUNTER AGUNG, TJ. PRIOK, KOTA JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",021-6400261,DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RSKIA EKA FAMILY,"JL. PLUIT MAS I NO.5A, RT.1/RW.18, PEJAGALAN, KEC. PENJARINGAN, KOTA JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14450",021-6695066,DKI JAKARTA | KOTA JAKARTA UTARA | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
