Unnamed: 0,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Cashless; Semua Provinsi; Semua Kota;,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Source_File,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Reimbursement; Semua Provinsi; Semua Kota;,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Diluar Cakupan Pertanggungan/Perlindungan; Semua Provinsi; Semua Kota;
9,"BRAWIJAYA HOSPITAL SAHARJO, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)39737890,"JL. DR SAHARJO NO.199, TEBET, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
10,"BSH, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN BOGOR,(0251)7556777,"JL. RAYA TAJUR NO168 MUARASARI, BOGOR SELATAN, BOGOR",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
11,"BUNDA JAKARTA, RSU",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(021)31923344,"JL TEUKU CIK DITIRO NO 21, MENTENG, JAKARTA PUSAT",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
12,"COLUMBIA ASIA AKSARA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,SUMATERA UTARA,KOTA MEDAN,(061)88806888,"JL. LETDA SUJONO LK.X NO.90,, BANDAR SELAMAT, MEDAN TEMBUNG, MEDAN",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
13,"COLUMBIA ASIA MEDAN, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,SUMATERA UTARA,KOTA MEDAN,(061)4566368,"JL. LISTRIK NO. 2A, MEDAN",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
14,"EKA HOSPITAL BSD, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)25655555,"CBD LOT.IX, BSD CITY, LENGKONG GUDANG, SERPONG, TANGERANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
15,"EMC ALAM SUTERA (DH OMNI ALAM SUTERA), RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)29779999,"JL. ALAM SUTERA BOULEVARD, KAV. 25, SERPONG, TANGERANG",YA,YA,YA,YA,Rumah Sakit,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
16,"EMC CIKARANG (DH OMNI CIKARANG), RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN BEKASI,(021)29779999,"THE OASIS KAV NO 1, JL RAYA CIKARANG CIBARUSAH, KAB. BEKASI",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
17,"EMC GRHA KEDOYA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA BARAT,(021)29910999,"JL. PANJANG ARTERI NO. 26, KEDOYA UTARA, JAKARTA BARAT",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
18,"EMC PEKAYON (DH OMNI PEKAYON), RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(021)29779999,"JL PULO RIBUNG RT 001/ RW 021, KEL PEKAYON, BEKASI SELATAN, BEKASI",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
19,"EMC PULOMAS (DH OMNI MEDICAL CENTER), RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA TIMUR,(021)29779999,"JL. PULOMAS BARAT VI, JAKARTA TIMUR",YA,YA,YA,YA,Rumah Sakit,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
20,"EMC SENTUL, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN BOGOR,(021)29672977,"JL MH THAMRIN KAV 57, SENTUL CITY, BOGOR",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
21,"EMC TANGERANG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)55752575,"JL. KH HASYIM ASHARI NO. 24, CIPONDOH, TANGERANG",YA,YA,YA,YA,Rumah Sakit,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
22,"KHUSUS BEDAH COLUMBIA ASIA SEMARANG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA TENGAH,KOTA SEMARANG,(024)7629999,"JL SILIWANGI NO 143, SEMARANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
23,"MAYAPADA HOSPITAL BANDUNG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(002)2860223777,"JL TERUSAN BUAH BATU NO. 5, KEL BATUNUNGGAL, BANDUNG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
24,"MAYAPADA HOSPITAL SURABAYA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(031)99217777,"JL MAYJEN SUNGKONO NO 20, PAKIS, SAWAHAN, SURABAYA",YA,YA,YA,YA,Rumah Sakit,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
25,"MAYAPADA HOSPITAL TANGERANG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)5529035,"JL. HONORIS RAYA KAV. 6, KOTA MODERN, KODYA DATI II, TANGERANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
26,"MEDISTRA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)5210200,"JL. JEND. GATOT SUBROTO KAV.59, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
27,"MELINDA 2, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(022)4233777,"JL DR CIPTO NO 1, KEC. CICENDO, BANDUNG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
28,"MELINDA, RSIA",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BANDUNG,(022)4222788,"JL PAJAJARAN NO 46, KEC. CICENDO, BANDUNG",YA,YA,YA,YA,Rumah Sakit Khusus,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
29,"MITRA KELUARGA BEKASI TIMUR, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(021)8817777,"JL PENGASINAN- RAWASEMUT, MARGAHAYU, BEKASI",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
30,"MITRA KELUARGA CIBUBUR, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BEKASI,(021)84311771,"JL. ALTERNATIVE TRANSYOGI, BEKASI",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
31,"MITRA KELUARGA DEPOK, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA DEPOK,(021)77210800,"JL. MARGONDA RAYA, PANCORANMAS, DEPOK",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
32,"MITRA KELUARGA KELAPA GADING, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA UTARA,(021)45852700,"JL. BUKIT GADING RAYA KAV.2,, KELAPA GADING PERMAI, JAKARTA UTARA",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
33,"MITRA KELUARGA KEMAYORAN, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(021)6545555,"JL. HBR MOTIK, KEMAYORAN, JAKARTA PUSAT",YA,YA,YA,YA,Rumah Sakit,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
34,"MITRA KELUARGA SURABAYA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(031)7345333,"JL. SATELIT INDAH II, DHARMO SATELIT, SURABAYA",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
35,"MITRA KELUARGA TEGAL, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA TENGAH,KOTA TEGAL,(0283)340999,"JL. SIPELEM NO. 4 KEMANDUNGAN, TEGAL BARAT, TEGAL",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
36,"MITRA KELUARGA WARU, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA TIMUR,KABUPATEN SIDOARJO,(031)8543111,"JL. LETJEND S PARMAN NO 8, WARU, SIDOARJO",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
37,"PONDOK INDAH BINTARO JAYA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)80828888,"CBD EMERALD BLOK CE/C NO 1, BOULEVARD BINTARO JAYA, TANGERANG SELATAN",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
38,"PONDOK INDAH PURI INDAH, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA BARAT,(021)25695222,"JL. PURI INDAH RAYA, BLOK S-2, KEMBANGAN SELATAN, JAKARTA BARAT",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
39,"PONDOK INDAH, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)7657525,"JL. METRO DUTA KAV. UE, PONDOK INDAH, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
40,"PRIMAYA BETANG PAMBELUM PALANGKARAYA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,(0536)4281888,"JL TJILIK RIWUT KM 6,5 RT.002, RW.011, KEL.BUKIT TUNGGAL, PALANGKARAYA",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
41,"PRIMAYA KARAWANG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KABUPATEN KARAWANG,(0267)8417000,"JL. ARTERI GALUH MAS, KEC. TELUKJAMBE TIMUR, KARAWANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
42,"PRIMAYA MAKASSAR (D/H RS AWAL BROS), RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,SULAWESI SELATAN,KOTA MAKASSAR,(0411)454567,"JL. JEND URIP SUMOHARJO NO 43, KARUWISI UTARA, MAKASSAR",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
43,"ROYAL PROGRESS, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA UTARA,(021)6400261,"JL.DANAU SUNTER UTARA, PERUMAHAN SUNTER PARADISE I, JAKARTA UTARA",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
44,"ROYAL SURABAYA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA TIMUR,KOTA SURABAYA,(031)3484111,"JL RUNGKUT INDUSTRI I/I, SURABAYA",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
45,"SILOAM HOSPITALS TB SIMATUPANG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)29531900,"JL KARTINI NO 8 CILANDAK, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
46,"SUMBER KASIH CIREBON, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA CIREBON,(0231)203815,"JL SILIWANGI NO 135, CIREBON",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
47,"SURYA HUSADHA NUSA DUA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BALI,KABUPATEN BADUNG,(0361)775827,"JL SILIGITA BLOK 1 NO 4, KUTA SELATAN, BADUNG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JULI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
48,"CIPUTRA CITRA GARDEN CITY, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA BARAT,(021)22557888,"JL BOULEVARD BLOK G1 NO 1, CITRA 5 GARDEN CITY, JAKARTA BARAT",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
49,"CIPUTRA HOSPITAL CITRA RAYA TANGERANG, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)59405555,"CITRA RAYA BOULEVARD BLOK V, SEKTOR 3 MEKARBAKTI PANONGAN, TANGERANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
50,"KHUSUS BEDAH SS MEDIKA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA PUSAT,(021)3913336,"JL SALEMBA SATU NO 11-13, JAKARTA PUSAT",YA,YA,YA,YA,Rumah Sakit Khusus,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
51,"MATA SMEC BALIKPAPAN, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,KALIMANTAN TIMUR,KOTA BALIKPAPAN,(0542)876732,"KOMP.BALIKPAPAN BARU BLOK AA2B, NO 16, BALIKPAPAN",YA,YA,-,YA,Rumah Sakit Khusus,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
52,"MAYAPADA HOSPITAL BOGOR, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,JAWA BARAT,KOTA BOGOR,(0251)8307900,"JL. PAJAJARAN INDAH V / 97, BOGOR",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 MEI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
53,"MENTARI, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)22228000,"JL RAYA LEGOK KARAWACI, KM 4 BOJONG NANGKA, TANGERANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JULI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
